Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
1,J. Nwora,CZV,F,37.40,12.7,+1.0,1,33,1,24,7,3,5,2,0,8,16,50.0,1,4,25.0,7,8,87.5,1,6,1,2,5,3
2,R. Holmes,PAO,C,36.30,12.5,+0.9,1,29,0,24,10,0,0,1,0,11,12,91.7,0,0,0.0,2,4,50.0,7,3,1,2,4,2
3,N. Hifi,PBB,G,35.20,12.7,+0.9,1,23,1,29,1,5,4,0,1,11,18,61.1,3,9,33.3,4,5,80.0,0,1,0,2,4,12
4,M. Kabengele,DUB,C,34.10,13.7,+0.8,1,24,1,26,7,1,1,0,0,8,11,72.7,2,3,66.7,8,9,88.9,3,4,2,3,5,18
5,K. Nunn,PAO,G,30.80,15.7,+0.5,1,35,1,26,5,6,0,0,0,9,19,47.4,2,7,28.6,6,6,100.0,1,4,2,2,5,13
6,V. Micic,HTA,G,30.80,15.5,+0.6,1,29,1,24,1,6,2,0,0,9,15,60.0,2,6,33.3,4,4,100.0,0,1,2,2,5,7
7,C. Edwards,VIR,G,29.70,14.5,+0.6,1,28,1,24,6,4,1,0,0,7,15,46.7,3,10,30.0,7,7,100.0,0,6,2,2,4,2
8,W. Tavares,RMB,C,29.70,14.4,+0.5,1,27,1,19,8,0,0,2,0,7,8,87.5,0,0,0.0,5,5,100.0,2,6,1,4,4,2
9,W. Hernangomez,BAR,C,29.70,12.5,+0.6,1,14,0,19,7,0,0,1,0,7,8,87.5,0,0,0.0,5,5,100.0,3,4,2,4,7,14
10,J. Robinson,PBB,G,27.50,12.1,+0.6,1,17,0,21,2,4,0,0,0,4,7,57.1,2,3,66.7,11,12,91.7,1,1,1,3,6,6
11,D. Booker,EA7,C,27.00,12.8,+0.5,1,30,1,11,12,2,0,0,0,3,7,42.9,0,2,0.0,5,5,100.0,6,6,1,1,8,-7
12,T. Lyles,RMB,F,26.40,12.0,+0.5,1,20,0,17,5,1,2,1,0,7,10,70.0,2,4,50.0,1,1,100.0,2,3,1,1,3,-2
13,V. Lucic,BAY,F,26.40,8.6,+0.7,1,27,1,15,5,1,1,0,0,4,7,57.1,1,2,50.0,6,7,85.7,1,4,0,0,6,10
14,E. Bryant,HTA,G,24.20,13.6,+0.4,1,33,1,16,6,2,2,0,0,5,8,62.5,2,4,50.0,4,5,80.0,2,4,4,0,4,5
15,T. Maledon,RMB,G,24.20,13.0,+0.4,1,14,0,16,3,3,1,0,0,4,7,57.1,1,3,33.3,7,7,100.0,1,2,1,3,6,-6
1,N. De Colo,ASV,G,23.00,13.2,+0.4,1,22,0,18,2,7,1,0,0,4,9,44.4,3,7,42.9,7,7,100.0,0,2,3,1,4,-6
2,O. Moore,VBC,G,23.00,11.2,+0.4,1,22,1,22,1,4,1,0,0,7,10,70.0,3,5,60.0,5,9,55.6,0,1,2,1,5,-3
3,C. Jones,HTA,G,22.00,11.2,+0.4,1,26,1,14,3,8,3,0,0,5,10,50.0,2,3,66.7,2,2,100.0,0,3,2,4,3,13
4,M. Nowell,BKN,G,22.00,9.1,+0.5,1,27,1,14,5,5,1,0,0,5,10,50.0,2,6,33.3,2,2,100.0,1,4,2,2,6,-6
5,C. Swider,EFS,F,22.00,9.7,+0.4,1,14,0,20,3,0,0,0,0,6,10,60.0,4,7,57.1,4,4,100.0,2,1,0,1,2,12
