Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
3,J. Hoard,MTA,F,14.30,14.4,−0.1,1,28,1,13,3,2,1,1,0,5,10,50.0,1,3,33.3,2,2,100.0,0,3,1,2,1,13
4,M. Strazel,ASM,G,13.20,7.4,+0.2,1,21,1,8,4,5,1,0,0,2,5,40.0,2,4,50.0,2,2,100.0,0,4,3,1,1,11
5,J. Dowtin Jr,MTA,G,13.20,12.1,0.0,1,18,0,13,3,4,1,0,1,5,10,50.0,3,5,60.0,0,0,0.0,1,2,1,3,1,13
6,K. Mitoglou,PAO,F,13.20,8.6,+0.1,1,13,0,6,3,2,1,0,0,2,4,50.0,0,2,0.0,2,2,100.0,1,2,1,0,3,4
7,A. Blakeney,HTA,G,13.00,10.1,+0.1,1,24,0,16,1,1,0,0,0,6,8,75.0,4,6,66.7,0,2,0.0,0,1,2,0,1,-13
8,M. James,ASM,G,12.10,14.9,−0.2,1,28,1,18,3,3,1,0,1,7,18,38.9,3,10,30.0,1,3,33.3,2,1,1,1,2,2
9,M. Hezonja,RMB,F,12.10,13.3,−0.1,1,18,1,11,2,2,0,0,0,3,11,27.3,0,6,0.0,5,6,83.3,1,1,0,0,5,10
10,B. Fernando,RMB,C,12.10,7.4,+0.1,1,18,0,7,6,0,1,1,0,3,4,75.0,0,0,0.0,1,1,100.0,0,6,1,4,2,1
11,M. Santos,MTA,C,12.10,7.3,+0.2,1,20,0,6,1,1,2,0,0,1,1,100.0,1,1,100.0,3,4,75.0,0,1,0,3,5,0
12,L. Brown,EA7,G,12.00,10.3,0.0,1,21,1,12,1,7,1,0,0,5,9,55.6,1,3,33.3,1,1,100.0,1,0,2,4,1,-9
13,S. Niang,VIR,F,12.00,8.3,+0.1,1,22,0,10,8,0,1,0,1,4,5,80.0,0,0,0.0,2,4,50.0,2,6,4,5,6,7
14,N. Mirotic,ASM,F,11.00,16.3,−0.3,1,22,1,7,5,2,0,0,0,1,4,25.0,0,1,0.0,5,7,71.4,2,3,0,3,4,5
15,D. Osetkowski,PAR,F,11.00,9.7,0.0,1,19,0,10,6,0,1,0,1,4,9,44.4,0,3,0.0,2,3,66.7,3,3,1,1,2,8
1,D. Willis,PBB,F,11.00,8.9,+0.1,1,17,0,10,4,0,0,1,0,4,7,57.1,1,4,25.0,1,1,100.0,0,4,1,2,1,1
2,T. Leaf,MTA,F,11.00,10.9,0.0,1,11,0,9,1,0,0,0,0,4,4,100.0,0,0,0.0,1,2,50.0,1,0,0,0,1,0
3,R. Sorkin,MTA,F,11.00,9.6,0.0,1,17,1,12,3,0,0,0,0,6,8,75.0,0,1,0.0,0,0,0.0,1,2,1,4,2,0
4,I. Bako,PBB,C,11.00,7.1,+0.1,1,14,0,6,5,1,1,1,0,2,6,33.3,0,0,0.0,2,4,50.0,4,1,0,0,2,-4
5,M. Guduric,EA7,G,10.00,11.2,−0.1,1,22,0,10,2,2,0,1,0,4,9,44.4,1,4,25.0,1,2,50.0,0,2,1,2,4,12
6,A. Pajola,VIR,G,10.00,8.0,+0.1,1,20,1,8,3,3,0,1,0,3,4,75.0,2,2,100.0,0,0,0.0,0,3,3,2,1,-8
7,L. Vildoza,VIR,G,10.00,9.1,0.0,1,19,0,4,2,6,2,0,0,2,5,40.0,0,2,0.0,0,0,0.0,0,2,1,1,1,2
8,G. Watson,ASV,G,10.00,10.1,0.0,1,22,1,11,2,2,1,0,0,2,10,20.0,1,6,16.7,6,6,100.0,0,2,1,2,5,-5
9,C. Jones,HTA,G,10.00,11.2,−0.1,1,18,0,12,3,3,1,0,0,5,11,45.5,1,5,20.0,1,2,50.0,0,3,3,2,3,-13
10,Z. Leday,EA7,F,10.00,14.7,−0.3,1,22,1,10,4,1,0,0,0,2,5,40.0,2,3,66.7,4,7,57.1,0,4,1,2,4,0
11,C. Malcolm,HTA,F,10.00,7.3,+0.1,1,26,1,8,5,1,0,0,0,2,2,100.0,1,1,100.0,3,4,75.0,1,4,1,4,2,-13
12,Y. Ouattara,PBB,G,9.90,5.2,+0.1,1,19,0,8,2,1,2,0,0,2,5,40.0,1,3,33.3,3,6,50.0,1,1,3,0,5,-3
13,D. Hommes,PBB,F,9.90,6.9,+0.1,1,21,1,11,2,0,1,0,0,4,7,57.1,3,5,60.0,0,0,0.0,0,2,2,3,3,15
14,A. Brooks,EA7,G,9.00,7.0,0.0,1,20,0,9,8,1,0,1,1,4,12,33.3,1,7,14.3,0,0,0.0,1,7,1,1,1,2
15,A. Smailagic,VIR,F,9.00,8.8,0.0,1,19,1,8,4,0,0,0,0,3,5,60.0,2,4,50.0,0,0,0.0,1,3,2,1,2,-11
1,G. Deck,RMB,F,8.80,10.2,−0.1,1,22,0,2,5,5,0,0,0,1,3,33.3,0,2,0.0,0,0,0.0,1,4,2,1,1,3
2,A. Feliz,RMB,G,7.70,6.7,0.0,1,20,1,6,1,6,2,0,0,3,6,50.0,0,2,0.0,0,0,0.0,0,1,3,3,1,5
3,S. Llull,RMB,G,7.70,5.1,+0.1,1,15,0,6,0,3,1,0,0,2,5,40.0,2,5,40.0,0,0,0.0,0,0,1,1,2,5
4,M. Nowell,BKN,G,7.00,9.1,−0.1,1,18,0,11,0,3,3,0,1,5,14,35.7,1,8,12.5,0,2,0.0,0,0,1,3,6,-9
5,C. Edwards,VIR,G,7.00,14.5,−0.3,1,20,1,11,2,1,1,1,1,3,11,27.3,1,7,14.3,4,4,100.0,0,2,3,1,4,-11
6,V. Micic,HTA,G,7.00,15.5,−0.4,1,22,1,14,1,4,0,0,0,5,10,50.0,2,4,50.0,2,3,66.7,0,1,6,4,4,0
7,R. Kurucs,BKN,F,7.00,6.5,0.0,1,15,0,7,4,0,0,0,1,2,4,50.0,0,1,0.0,3,3,100.0,1,3,1,2,2,-1
8,S. Shields,EA7,F,7.00,13.9,−0.3,1,26,1,13,1,2,1,0,1,5,12,41.7,1,5,20.0,2,2,100.0,0,1,0,3,1,-5
9,A. Traore,ASV,F,7.00,7.1,0.0,1,22,0,4,8,0,0,0,0,2,6,33.3,0,2,0.0,0,0,0.0,4,4,1,0,0,-2
10,M. Diouf,VIR,C,7.00,6.7,0.0,1,21,0,6,5,2,0,0,2,2,5,40.0,0,0,0.0,2,2,100.0,2,3,1,1,1,0
11,T. Shorts,PAO,G,6.60,12.3,−0.3,1,19,0,5,1,3,1,0,0,2,7,28.6,0,0,0.0,1,2,50.0,0,1,0,1,3,21
12,J. Loyd,EFS,G,6.00,9.5,−0.2,1,21,0,6,2,2,0,0,0,2,5,40.0,1,4,25.0,1,1,100.0,1,1,0,3,2,-5
13,D. Kramer,RMB,G,5.50,7.0,−0.1,1,24,1,9,4,2,0,0,1,3,8,37.5,3,7,42.9,0,2,0.0,0,4,1,3,2,12
14,M. Ngouama,ASV,G,5.00,5.4,−0.1,1,20,0,12,2,3,2,0,3,5,13,38.5,2,5,40.0,0,0,0.0,1,1,2,1,0,-5
15,A. Dokossi,PBB,F,4.40,8.0,−0.2,1,12,0,2,4,1,2,1,0,1,1,100.0,0,0,0.0,0,5,0.0,1,3,1,3,3,6
1,P. Dozier,EFS,G,4.00,8.7,−0.2,1,8,1,4,2,1,0,0,0,1,4,25.0,0,1,0.0,2,2,100.0,1,1,1,0,1,-4
2,M. Diakite,BKN,F,4.00,8.5,−0.3,1,18,1,6,2,0,1,2,0,3,5,60.0,0,1,0.0,0,0,0.0,0,2,3,2,0,11
3,K. Diop,BKN,C,4.00,6.2,−0.1,1,10,0,3,3,0,1,1,0,1,2,50.0,0,0,0.0,1,2,50.0,0,3,1,4,3,-3
4,N. Nedovic,ASM,G,3.30,7.1,−0.2,1,12,0,0,1,5,0,0,0,0,1,0.0,0,1,0.0,0,0,0.0,1,0,0,3,1,1
5,S. Milton,PAR,G,3.30,11.7,−0.4,1,18,0,6,0,2,1,0,0,3,6,50.0,0,2,0.0,0,0,0.0,0,0,0,4,1,-1
6,J. Ayayi,PBB,G,3.30,7.7,−0.2,1,12,0,3,4,0,0,0,0,1,1,100.0,1,1,100.0,0,0,0.0,2,2,1,3,0,10
7,F. Campazzo,RMB,G,3.30,13.1,−0.5,1,20,0,5,0,1,2,0,0,1,6,16.7,1,5,20.0,2,2,100.0,0,0,1,0,1,8
8,A. Samodurov,PAO,F,3.30,4.0,−0.1,1,7,0,0,1,1,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,-3
9,L. Cavaliere,PBB,F,3.30,4.6,−0.1,1,10,0,3,2,1,0,0,0,1,2,50.0,0,1,0.0,1,2,50.0,1,1,0,2,1,1
10,O. Yurtseven,PAO,C,3.30,9.1,−0.3,1,7,1,0,7,0,0,1,0,0,3,0.0,0,0,0.0,0,2,0.0,2,5,1,1,2,-3
11,B. Taylor,VIR,G,3.00,8.1,−0.3,1,4,0,3,0,1,0,0,0,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0,1,0,-1
12,Z. Seljaas,ASV,F,3.00,9.9,−0.4,1,21,1,9,2,0,0,0,0,3,8,37.5,3,8,37.5,0,0,0.0,1,1,0,3,0,-16
13,T. Ginat,HTA,F,3.00,7.9,−0.3,1,17,0,3,1,1,1,1,0,1,2,50.0,0,1,0.0,1,2,50.0,0,1,1,2,1,0
14,B. Dunston,EA7,C,3.00,5.2,−0.1,1,16,0,0,5,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0.0,1,4,0,4,1,14
15,B. Vautier,ASV,C,3.00,6.7,−0.2,1,12,1,2,5,1,1,0,0,1,3,33.3,0,0,0.0,0,0,0.0,2,3,3,2,1,-13
1,D. Washington,PAR,G,2.20,7.8,−0.2,1,9,0,6,0,0,0,0,0,2,3,66.7,1,2,50.0,1,2,50.0,0,0,0,4,2,1
2,S. Herrera,PBB,G,2.20,4.4,−0.1,1,18,0,7,2,4,1,0,1,2,10,20.0,2,7,28.6,1,1,100.0,1,1,1,2,0,0
3,N. Rogkavopoulos,PAO,F,2.20,7.0,−0.3,1,10,0,2,3,1,0,0,0,0,3,0.0,0,1,0.0,2,2,100.0,2,1,0,2,1,3
4,J. Blossomgame,ASM,F,2.20,8.0,−0.3,1,18,0,4,4,0,0,0,1,1,2,50.0,0,0,0.0,2,4,50.0,0,4,0,4,2,-2
