Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
1,J. Hernangomez,PAO,F,39.00,14.0,+1.0,1,35,0,27,8,0,2,0,0,9,14,64.3,3,7,42.9,6,7,85.7,5,3,0,0,8,-5
2,N. Mirotic,ASM,F,35.20,16.3,+0.7,1,20,1,19,7,4,2,0,0,6,9,66.7,1,2,50.0,6,8,75.0,3,4,2,2,9,27
3,W. Baldwin Iv,FBB,G,34.00,11.5,+0.9,1,27,0,36,2,4,1,0,2,14,22,63.6,5,8,62.5,3,5,60.0,0,2,1,0,4,8
4,A. Obst,BAY,G,33.00,8.3,+1.1,1,26,0,31,3,0,1,0,0,9,16,56.3,9,16,56.3,4,5,80.0,2,1,0,1,4,10
5,K. Sloukas,PAO,G,30.00,12.0,+0.7,1,27,0,18,4,11,3,0,0,4,12,33.3,2,3,66.7,8,8,100.0,2,2,1,4,7,-11
6,J. Loyd,EFS,G,29.00,9.5,+0.7,1,28,0,25,4,2,0,0,0,6,9,66.7,3,6,50.0,10,10,100.0,1,3,2,4,7,1
7,J. Nwora,CZV,F,29.00,12.7,+0.7,1,30,1,27,5,2,0,0,0,8,14,57.1,2,6,33.3,9,11,81.8,1,4,1,3,7,4
8,W. Clyburn,BAR,F,28.60,13.7,+0.5,1,29,1,23,6,3,1,0,0,9,14,64.3,4,5,80.0,1,2,50.0,3,3,2,2,3,13
9,S. Brown,PAR,G,27.50,10.8,+0.7,1,26,1,20,4,2,2,0,1,7,10,70.0,3,5,60.0,3,4,75.0,0,4,0,1,3,6
10,Z. Seljaas,ASV,F,27.50,9.9,+0.7,1,25,1,23,4,2,0,0,0,7,8,87.5,5,6,83.3,4,5,80.0,1,3,1,5,4,2
11,S. Shields,EA7,F,26.00,13.9,+0.4,1,24,1,21,4,0,0,0,0,7,11,63.6,5,9,55.6,2,2,100.0,0,4,0,0,5,-14
12,N. Williams-goss,ZAL,G,25.30,10.2,+0.6,1,25,1,20,2,2,1,0,0,7,11,63.6,0,3,0.0,6,7,85.7,0,2,0,1,4,6
13,S. De Larrea,VBC,G,25.30,7.1,+0.7,1,22,1,23,3,2,1,0,0,8,13,61.5,5,7,71.4,2,3,66.7,1,2,2,0,2,-1
14,A. Dokossi,PBB,F,25.30,8.0,+0.7,1,23,0,9,13,4,0,0,0,4,5,80.0,0,0,0.0,1,2,50.0,5,8,1,2,2,0
15,F. Petrusev,DUB,F,25.00,13.8,+0.4,1,22,0,14,8,1,0,0,0,3,6,50.0,1,2,50.0,7,7,100.0,1,7,1,1,7,-15
1,M. James,ASM,G,24.20,14.9,+0.3,1,28,1,14,5,8,0,1,0,6,11,54.5,2,4,50.0,0,0,0.0,0,5,2,2,3,26
2,N. Laprovittola,BAR,G,23.10,11.1,+0.4,1,23,0,15,2,9,0,0,0,5,9,55.6,4,8,50.0,1,1,100.0,0,2,2,2,3,10
3,E. Osmani,EFS,F,23.00,7.7,+0.6,1,32,1,16,7,1,1,1,0,6,9,66.7,1,2,50.0,3,4,75.0,3,4,1,3,5,-7
4,N. Reuvers,VBC,F,22.00,8.4,+0.6,1,17,1,15,1,1,0,1,0,5,6,83.3,1,2,50.0,4,5,80.0,1,0,1,0,5,-17
5,D. Theis,ASM,C,22.00,14.3,+0.3,1,17,1,15,2,2,0,2,0,5,6,83.3,1,2,50.0,4,4,100.0,1,1,0,3,3,19
6,M. Kabengele,DUB,C,21.00,13.7,+0.3,1,18,1,16,6,4,0,0,0,6,9,66.7,0,2,0.0,4,4,100.0,3,3,1,4,3,-13
7,I. Bonga,PAR,F,20.90,9.7,+0.4,1,32,1,10,6,1,2,0,0,3,4,75.0,0,1,0.0,4,4,100.0,0,6,1,2,4,2
8,M. Ndiaye,ASV,C,20.90,6.7,+0.5,1,24,0,10,5,2,2,1,0,4,5,80.0,1,2,50.0,1,2,50.0,0,5,0,0,1,20
9,T. Forrest,BKN,G,20.00,10.7,+0.3,1,29,1,11,8,6,0,0,1,4,9,44.4,1,3,33.3,2,2,100.0,3,5,2,3,6,-13
10,S. Francisco,ZAL,G,19.80,14.4,+0.2,1,24,1,18,1,4,0,2,0,6,12,50.0,3,4,75.0,3,7,42.9,0,1,2,0,5,7
11,N. De Colo,ASV,G,19.80,13.2,+0.2,1,13,0,12,1,4,1,0,0,4,5,80.0,2,2,100.0,2,2,100.0,0,1,2,1,4,-2
12,O. Da Silva,BAY,F,19.80,5.9,+0.6,1,13,0,12,4,1,2,0,0,6,6,100.0,0,0,0.0,0,0,0.0,3,1,1,0,0,10
