Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
1,K. Nunn,PAO,G,31.90,15.7,+0.6,1,34,1,21,3,10,0,0,0,9,14,64.3,0,3,0.0,3,3,100.0,0,3,2,1,3,0
2,M. Wright,ZAL,C,30.80,11.4,+0.8,1,23,0,21,6,0,1,0,0,8,8,100.0,1,1,100.0,4,5,80.0,4,2,1,2,4,7
3,W. Clyburn,BAR,F,30.00,13.7,+0.6,1,25,1,23,7,2,0,1,0,8,11,72.7,3,5,60.0,4,4,100.0,2,5,1,1,2,4
4,S. Vezenkov,OLY,F,29.70,17.8,+0.5,1,29,1,24,13,1,0,0,0,8,20,40.0,2,8,25.0,6,6,100.0,5,8,2,1,4,8
5,N. Milutinov,OLY,C,29.70,14.1,+0.6,1,25,1,12,14,0,1,0,0,4,7,57.1,0,0,0.0,4,4,100.0,7,7,0,1,4,16
6,D. Bertans,DUB,F,28.60,9.6,+0.7,1,26,1,20,3,4,1,0,0,6,8,75.0,5,7,71.4,3,4,75.0,1,2,1,1,3,16
7,Z. Leday,EA7,F,27.50,14.7,+0.4,1,25,1,21,5,0,1,0,0,7,11,63.6,1,2,50.0,6,7,85.7,1,4,1,3,7,10
8,X. Rathan-mayes,BAY,G,26.00,8.6,+0.6,1,24,1,18,5,8,0,1,0,4,12,33.3,2,5,40.0,8,11,72.7,2,3,1,0,6,-5
9,D. Hall,FBB,G,25.30,9.7,+0.7,1,26,1,22,4,2,0,0,0,7,8,87.5,5,6,83.3,3,4,75.0,0,4,3,2,2,13
10,O. Moore,VBC,G,25.30,11.2,+0.6,1,27,1,12,8,10,1,0,1,3,8,37.5,3,6,50.0,3,4,75.0,2,6,2,2,3,11
11,T. Luwawu-cabarrot,BKN,F,25.00,9.8,+0.6,1,25,0,23,6,2,1,0,0,8,13,61.5,5,8,62.5,2,2,100.0,1,5,1,4,3,-2
12,A. Blakeney,HTA,G,24.20,10.1,+0.6,1,19,0,20,1,0,0,2,1,3,7,42.9,3,4,75.0,11,11,100.0,0,1,0,0,4,8
13,D. Musa,DUB,F,24.20,13.1,+0.4,1,34,1,19,4,5,0,0,0,6,12,50.0,3,5,60.0,4,4,100.0,2,2,2,2,4,12
14,T. Dorsey,OLY,G,23.10,9.8,+0.6,1,32,1,21,4,3,2,0,1,5,14,35.7,2,8,25.0,9,10,90.0,1,3,2,1,5,11
15,D. Oturu,HTA,C,23.10,12.1,+0.5,1,23,1,18,4,1,0,1,0,9,10,90.0,0,0,0.0,0,0,0.0,3,1,1,2,1,5
1,N. Mirotic,ASM,F,23.00,16.3,+0.2,1,24,1,16,6,1,0,2,0,6,8,75.0,1,2,50.0,3,3,100.0,0,6,1,4,5,-2
2,D. Theis,ASM,C,23.00,14.3,+0.3,1,23,1,17,6,1,0,1,0,7,9,77.8,1,2,50.0,2,4,50.0,4,2,0,2,4,-4
3,N. De Colo,ASV,G,22.00,13.2,+0.3,1,24,1,17,3,4,2,0,0,6,11,54.5,3,8,37.5,2,2,100.0,0,3,3,1,5,-9
4,T. Forrest,BKN,G,22.00,10.7,+0.4,1,30,1,14,2,10,2,0,0,4,10,40.0,0,3,0.0,6,6,100.0,0,2,1,2,3,14
5,J. Hoard,MTA,F,22.00,14.4,+0.3,1,32,1,15,9,2,0,0,0,5,9,55.6,2,3,66.7,3,4,75.0,3,6,1,0,2,-8
6,O. Yurtseven,PAO,C,22.00,9.1,+0.5,1,20,0,14,5,2,1,2,0,4,5,80.0,0,0,0.0,6,6,100.0,1,4,3,4,4,9
7,M. James,ASM,G,21.00,14.9,+0.2,1,30,1,24,3,5,0,1,1,10,19,52.6,2,7,28.6,2,2,100.0,1,2,3,1,2,-14
8,N. Weiler-babb,EFS,G,20.90,10.6,+0.4,1,23,1,12,4,3,2,0,0,4,5,80.0,3,4,75.0,1,1,100.0,0,4,1,3,3,4
9,N. Reuvers,VBC,F,19.80,8.4,+0.5,1,21,1,13,6,0,2,0,0,3,8,37.5,3,6,50.0,4,6,66.7,0,6,0,2,6,1
10,M. Costello,VBC,F,19.80,10.5,+0.3,1,17,0,13,10,1,0,0,0,5,8,62.5,1,3,33.3,2,2,100.0,4,6,1,3,1,5
11,N. Rogkavopoulos,PAO,F,19.80,7.0,+0.5,1,29,1,15,5,0,2,0,1,4,7,57.1,2,4,50.0,5,6,83.3,2,3,1,2,4,4
12,M. Kabengele,DUB,C,19.80,13.7,+0.3,1,15,1,15,5,0,0,0,0,6,7,85.7,0,0,0.0,3,4,75.0,2,3,1,2,3,14
13,J. Nwora,CZV,F,19.00,12.7,+0.3,1,30,1,19,6,1,2,0,0,8,16,50.0,2,6,33.3,1,2,50.0,2,4,1,2,3,-10
14,V. Micic,HTA,G,18.70,15.5,+0.1,1,28,1,18,3,2,1,0,0,7,12,58.3,4,7,57.1,0,0,0.0,0,3,2,3,3,2
15,F. Petrusev,DUB,F,18.70,13.8,+0.2,1,25,0,14,8,0,1,0,1,7,13,53.8,0,0,0.0,0,0,0.0,3,5,1,0,2,-2
1,R. Smits,EFS,F,18.70,6.3,+0.4,1,16,0,16,3,1,1,0,0,7,10,70.0,2,3,66.7,0,0,0.0,1,2,0,2,1,8
2,N. Melli,FBB,C,18.70,8.9,+0.3,1,25,0,9,6,3,3,1,0,3,7,42.9,3,5,60.0,0,0,0.0,1,5,1,1,1,8
3,J. Nebo,EA7,C,18.70,12.0,+0.2,1,28,1,12,5,2,0,0,0,5,5,100.0,0,0,0.0,2,3,66.7,1,4,1,2,2,10
4,N. Hifi,PBB,G,18.00,12.7,+0.2,1,20,0,23,1,2,0,0,1,7,17,41.2,5,7,71.4,4,4,100.0,1,0,3,1,7,-14
5,R. Sorkin,MTA,F,18.00,9.6,+0.3,1,26,1,15,2,0,0,0,0,5,9,55.6,0,2,0.0,5,5,100.0,1,1,0,2,7,-14
6,E. Izundu,CZV,C,18.00,8.4,+0.3,1,21,0,14,3,1,1,0,0,7,7,100.0,0,0,0.0,0,0,0.0,2,1,1,1,1,0
7,T. Horton Tucker,FBB,G,17.60,10.5,+0.2,1,20,1,20,2,2,1,1,0,6,10,60.0,2,6,33.3,6,7,85.7,0,2,5,4,4,6
8,T. Ward,OLY,F,17.60,10.1,+0.3,1,15,0,11,1,1,0,0,0,2,2,100.0,1,1,100.0,6,6,100.0,0,1,1,1,5,-12
9,S. Niang,VIR,F,17.60,8.3,+0.4,1,27,0,12,4,3,1,0,0,6,8,75.0,0,0,0.0,0,0,0.0,1,3,1,2,1,4
10,H. Diallo,BKN,F,17.00,11.6,+0.2,1,20,1,15,5,1,1,0,0,6,10,60.0,0,2,0.0,3,4,75.0,4,1,1,2,3,-2
11,T. Jones,PAR,C,17.00,14.3,0.0,1,26,0,13,6,2,2,2,0,6,8,75.0,0,0,0.0,1,2,50.0,3,3,3,4,2,0
12,W. Baldwin Iv,FBB,G,16.50,11.5,+0.2,1,26,0,10,2,10,0,0,0,3,8,37.5,0,2,0.0,4,8,50.0,1,1,1,2,5,17
13,E. Bryant,HTA,G,16.50,13.6,+0.1,1,24,1,11,2,8,1,0,0,4,9,44.4,1,2,50.0,2,2,100.0,2,0,2,2,2,13
14,J. Loyd,EFS,G,16.50,9.5,+0.3,1,24,0,16,2,1,0,0,0,6,10,60.0,4,8,50.0,0,0,0.0,1,1,2,1,3,6
15,J. Grant,PAO,G,16.50,9.6,+0.2,1,24,0,10,2,5,0,0,0,4,7,57.1,2,3,66.7,0,0,0.0,0,2,0,2,3,7
1,S. Shields,EA7,F,16.50,13.9,+0.1,1,29,1,13,4,2,1,0,0,5,8,62.5,2,4,50.0,1,1,100.0,0,4,2,2,2,0
2,C. Moneke,CZV,F,16.00,15.8,0.0,1,23,1,9,8,2,1,0,0,2,6,33.3,0,1,0.0,5,7,71.4,2,6,1,3,6,-10
3,S. Francisco,ZAL,G,15.40,14.4,0.0,1,28,1,9,4,9,0,2,2,3,9,33.3,2,5,40.0,1,2,50.0,0,4,2,1,2,15
4,J. Robinson,PBB,G,15.00,12.1,+0.1,1,20,1,17,3,2,1,0,0,6,14,42.9,3,6,50.0,2,6,33.3,1,2,2,1,7,-3
5,D. Osetkowski,PAR,F,15.00,9.7,+0.2,1,15,1,12,2,0,1,0,0,3,6,50.0,1,2,50.0,5,6,83.3,2,0,0,2,6,-13
