Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
1,S. Vezenkov,OLY,F,34.10,21.2,+0.6,1,24,1,22,7,1,2,0,0,6,11,54.5,3,5,60.0,7,8,87.5,2,5,0,1,6,12
2,S. Lee,OLY,G,28.60,8.2,0.0,1,22,0,23,1,5,1,0,0,8,10,80.0,2,2,100.0,5,7,71.4,0,1,2,2,4,12
3,M. Lessort,PAO,C,28.00,15.3,+0.4,1,30,1,19,11,3,1,2,0,6,9,66.7,0,0,0.0,7,10,70.0,5,6,3,4,5,2
4,S. Mckissic,OLY,G,27.50,5.8,+0.8,1,23,0,22,3,2,0,0,1,7,9,77.8,3,3,100.0,5,5,100.0,0,3,1,1,3,13
5,N. Hayes-davis,FBB,F,25.00,17.2,+0.4,1,31,1,20,8,0,1,0,1,7,12,58.3,4,5,80.0,2,2,100.0,2,6,2,1,5,-12
6,L. Brown,PAO,G,19.00,7.5,+0.2,1,19,0,14,2,2,1,0,0,3,4,75.0,1,2,50.0,7,9,77.8,1,1,1,0,4,-7
7,E. Okobo,ASM,G,18.00,12.4,+0.2,1,25,0,13,1,7,0,0,0,3,5,60.0,2,3,66.7,5,6,83.3,0,1,1,3,4,-4
8,K. Papanikolaou,OLY,F,16.50,6.9,+0.2,1,25,1,13,2,1,1,2,0,6,8,75.0,1,3,33.3,0,1,0.0,0,2,0,2,1,14
9,K. Nunn,PAO,G,15.00,17.4,0.0,1,27,1,16,8,1,1,1,2,6,16,37.5,2,7,28.6,2,2,100.0,0,8,3,2,5,-1
10,M. Jaiteh,ASM,C,14.00,8.2,+0.2,1,28,1,10,4,0,1,0,0,4,5,80.0,0,0,0.0,2,2,100.0,1,3,1,1,2,-10
11,T. Walkup,OLY,G,12.10,6.7,+0.1,1,22,1,2,3,8,1,0,0,1,3,33.3,0,1,0.0,0,0,0.0,0,3,1,2,2,8
12,A. Diallo,ASM,F,11.00,11.6,−0.1,1,26,0,12,6,1,3,0,1,5,7,71.4,1,2,50.0,1,1,100.0,0,6,4,5,1,-2
13,J. Hernangomez,PAO,F,10.00,14.9,−0.1,1,16,0,9,6,0,0,0,0,4,7,57.1,1,1,100.0,0,0,0.0,2,4,1,1,0,1
14,L. Vildoza,OLY,G,9.90,5.9,−0.1,1,18,0,9,1,2,2,0,0,3,5,60.0,2,4,50.0,1,2,50.0,0,1,1,2,1,13
15,D. Hall,FBB,G,9.00,8.4,0.0,1,26,0,10,2,3,1,0,1,4,11,36.4,0,4,0.0,2,3,66.7,0,2,0,2,4,-1
1,M. Grigonis,PAO,G,9.00,4.0,0.0,1,16,1,7,1,2,0,0,0,2,3,66.7,1,1,100.0,2,2,100.0,0,1,1,1,2,6
2,D. Motiejunas,ASM,C,9.00,6.7,−0.1,1,13,1,8,1,0,1,1,0,4,6,66.7,0,0,0.0,0,0,0.0,0,1,0,2,2,-5
3,K. Sloukas,PAO,G,8.00,12.2,−0.3,1,15,0,2,3,5,0,0,0,0,2,0.0,0,1,0.0,2,2,100.0,0,3,2,2,4,-7
4,A. Peters,OLY,F,7.70,9.4,−0.2,1,16,0,9,2,0,0,0,1,3,4,75.0,2,2,100.0,1,1,100.0,0,2,1,2,1,9
5,J. Grant,PAO,G,6.00,10.7,−0.2,1,31,1,6,2,2,2,0,0,2,5,40.0,2,4,50.0,0,0,0.0,2,0,1,3,1,-1
6,J. Loyd,ASM,G,5.00,8.5,−0.1,1,23,1,4,4,4,2,0,0,2,9,22.2,0,2,0.0,0,0,0.0,1,3,1,4,3,-12
7,M. James,ASM,G,5.00,17.4,−0.5,1,24,1,11,1,1,2,0,0,2,9,22.2,1,3,33.3,6,9,66.7,0,1,3,1,4,-21
8,M. Wright,OLY,C,4.40,6.3,−0.3,1,21,0,5,2,1,0,1,0,1,3,33.3,0,2,0.0,3,4,75.0,0,2,3,2,3,7
9,M. Fall,OLY,C,4.40,8.8,−0.4,1,12,1,2,4,4,0,1,0,1,1,100.0,0,0,0.0,0,0,0.0,1,3,3,5,1,11
10,S. Sanli,FBB,C,4.00,5.0,−0.1,1,15,0,2,5,3,0,1,0,1,2,50.0,0,0,0.0,0,0,0.0,3,2,2,4,0,-11
11,M. Mahmutoglu,FBB,G,3.00,4.0,−0.1,1,8,0,3,1,0,0,0,0,1,2,50.0,1,2,50.0,0,0,0.0,0,1,0,0,0,-11
12,D. Pierre,FBB,F,3.00,5.7,−0.3,1,17,0,5,1,0,0,1,1,1,4,25.0,1,1,100.0,2,2,100.0,1,0,1,0,1,-4
13,B. Colson,FBB,F,3.00,7.6,−0.4,1,24,1,9,4,1,0,0,0,3,10,30.0,0,3,0.0,3,4,75.0,1,3,2,3,2,-17
14,K. Birch,FBB,C,3.00,6.3,−0.4,1,11,0,2,2,0,1,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,2,1,1,0,-1
15,M. Strazel,ASM,G,2.00,8.1,−0.2,1,15,0,2,1,2,0,0,0,1,3,33.3,0,2,0.0,0,0,0.0,1,0,2,0,1,2
1,K. Mitoglou,PAO,F,2.00,6.9,−0.4,1,15,1,2,4,0,1,1,0,1,3,33.3,0,0,0.0,0,0,0.0,1,3,3,2,1,-4
2,G. Papagiannis,ASM,C,2.00,8.5,−0.4,1,9,0,4,5,0,0,0,1,2,6,33.3,0,2,0.0,0,0,0.0,2,3,1,1,0,-9
3,V. Brown,ASM,F,1.00,4.2,−0.3,1,6,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,5
4,J. Blossomgame,ASM,F,1.00,9.2,−0.3,1,30,1,7,3,2,1,0,1,3,10,30.0,1,3,33.3,0,2,0.0,2,1,1,3,2,-19
5,A. Zagars,FBB,G,0.00,6.0,−0.4,1,16,1,2,2,1,0,0,0,0,3,0.0,0,1,0.0,2,2,100.0,0,2,2,4,4,-12
6,W. Baldwin Iv,FBB,G,0.00,11.6,−0.7,1,29,1,3,3,5,1,0,0,1,6,16.7,1,4,25.0,0,0,0.0,1,2,5,3,1,-14
7,E. Fournier,OLY,G,-0.90,12.9,−0.6,1,22,1,5,1,0,1,0,1,2,8,25.0,1,5,20.0,0,0,0.0,0,1,0,1,0,6
8,G. Larentzakis,OLY,G,-0.90,4.0,−0.3,1,2,0,0,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0
9,T. Dorsey,OLY,G,-0.90,4.0,−0.4,1,9,0,0,1,1,0,0,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,0,1,0,9
10,C. Osman,PAO,F,-1.00,10.4,−0.6,1,12,0,3,1,0,0,0,0,1,3,33.3,1,2,50.0,0,0,0.0,0,1,0,3,0,-1
11,P. Kalaitzakis,PAO,F,-1.00,4.0,−0.2,1,2,0,0,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0
12,O. Yurtseven,PAO,C,-1.00,9.1,−0.6,1,8,0,2,1,0,0,0,0,1,4,25.0,0,0,0.0,0,1,0.0,1,0,0,1,1,-12
13,I. Papapetrou,PAO,F,-4.00,4.0,−0.5,1,11,0,0,0,0,0,0,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,4
14,N. Melli,FBB,F,-5.00,8.5,−0.7,1,17,0,1,0,0,0,0,0,0,3,0.0,0,3,0.0,1,2,50.0,0,0,2,2,2,0
