Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
1,M. Lessort,PAO,C,29.70,15.3,+0.5,1,27,1,22,6,1,0,1,0,9,11,81.8,0,0,0.0,4,6,66.7,4,2,2,1,4,15
2,M. James,ASM,G,24.20,17.4,+0.3,1,31,1,17,1,6,3,0,0,5,13,38.5,3,7,42.9,4,6,66.7,0,1,0,1,6,9
3,K. Nunn,PAO,G,22.00,17.4,+0.3,1,29,1,17,4,7,1,0,1,6,13,46.2,3,6,50.0,2,2,100.0,0,4,2,1,2,15
4,J. Hernangomez,PAO,F,20.90,14.9,+0.3,1,24,0,12,11,0,1,0,0,5,9,55.6,2,3,66.7,0,0,0.0,5,6,0,2,1,0
5,J. Grant,PAO,G,19.80,10.7,+0.3,1,19,0,11,3,2,3,0,0,4,5,80.0,1,1,100.0,2,3,66.7,1,2,1,1,3,15
6,E. Okobo,ASM,G,17.60,12.4,+0.1,1,27,0,17,2,3,0,0,0,7,11,63.6,2,3,66.7,1,2,50.0,0,2,2,1,2,3
7,J. Loyd,ASM,G,17.00,8.5,+0.1,1,29,1,16,4,1,0,0,0,6,12,50.0,1,4,25.0,3,3,100.0,1,3,1,4,7,-7
8,K. Birch,FBB,C,16.50,6.3,+0.1,1,27,0,10,8,1,1,0,1,1,6,16.7,0,0,0.0,8,8,100.0,5,3,1,3,5,7
9,A. Zagars,FBB,G,13.20,6.0,+0.2,1,14,0,11,0,3,0,0,0,4,5,80.0,2,2,100.0,1,2,50.0,0,0,1,0,1,12
10,M. Guduric,FBB,G,13.20,10.7,+0.1,1,21,1,8,6,3,0,0,0,3,6,50.0,2,4,50.0,0,0,0.0,0,6,0,3,1,-1
11,B. Colson,FBB,F,13.20,7.6,0.0,1,23,1,16,1,2,0,0,1,5,8,62.5,3,5,60.0,3,3,100.0,1,0,0,5,2,-10
12,D. Motiejunas,ASM,C,13.20,6.7,+0.1,1,22,1,11,6,0,0,0,0,5,10,50.0,1,4,25.0,0,0,0.0,2,4,1,2,3,6
13,G. Papagiannis,ASM,C,13.20,8.5,0.0,1,18,0,10,7,0,0,1,1,5,9,55.6,0,1,0.0,0,0,0.0,3,4,1,2,2,-1
14,L. Brown,PAO,G,12.10,7.5,−0.1,1,19,0,9,2,5,3,0,0,4,9,44.4,1,2,50.0,0,1,0.0,0,2,3,2,3,0
15,N. Hayes-davis,FBB,F,12.10,17.2,−0.1,1,26,1,11,5,5,0,2,3,4,12,33.3,3,4,75.0,0,0,0.0,4,1,1,1,1,-13
1,O. Yurtseven,PAO,C,12.10,9.1,−0.1,1,12,0,8,4,0,1,1,0,3,6,50.0,0,1,0.0,2,2,100.0,3,1,1,1,2,0
2,A. Diallo,ASM,F,11.00,11.6,−0.1,1,29,0,9,6,1,0,0,0,3,6,50.0,0,0,0.0,3,4,75.0,4,2,1,3,2,8
3,I. Papapetrou,PAO,F,9.90,4.0,+0.1,1,13,0,4,6,0,1,1,0,2,5,40.0,0,2,0.0,0,0,0.0,1,5,0,1,1,15
4,M. Jaiteh,ASM,C,9.90,8.2,+0.1,1,22,1,6,8,1,0,0,0,3,4,75.0,0,0,0.0,0,4,0.0,2,6,1,4,4,7
5,T. Biberovic,FBB,F,8.80,8.8,0.0,1,13,0,7,1,3,0,0,0,3,4,75.0,1,2,50.0,0,0,0.0,1,0,1,1,0,9
6,W. Baldwin Iv,FBB,G,5.50,11.6,−0.5,1,31,1,15,3,2,1,0,2,5,17,29.4,3,7,42.9,2,2,100.0,1,2,4,1,3,-9
7,C. Osman,PAO,F,5.50,10.4,−0.4,1,14,1,5,1,0,2,0,0,2,3,66.7,1,1,100.0,0,0,0.0,0,1,1,2,1,0
8,J. Blossomgame,ASM,F,4.40,9.2,−0.2,1,21,1,7,3,0,0,0,0,2,7,28.6,2,5,40.0,1,4,25.0,1,2,0,2,4,3
9,M. Strazel,ASM,G,3.30,8.1,−0.1,1,27,1,8,0,2,0,0,0,3,5,60.0,2,3,66.7,0,0,0.0,0,0,1,4,0,0
10,S. Sanli,FBB,C,3.30,5.0,−0.1,1,6,1,3,3,0,0,0,0,1,2,50.0,1,1,100.0,0,0,0.0,0,3,0,3,1,0
11,N. Melli,FBB,F,2.20,8.5,−0.5,1,21,0,2,4,0,1,2,0,1,4,25.0,0,1,0.0,0,0,0.0,0,4,0,4,0,15
12,K. Mitoglou,PAO,F,2.20,6.9,−0.4,1,12,1,4,3,0,0,0,0,2,4,50.0,0,0,0.0,0,0,0.0,1,2,0,3,0,0
13,M. Grigonis,PAO,G,1.10,4.0,−0.3,1,10,0,2,0,1,0,1,0,1,4,25.0,0,3,0.0,0,0,0.0,0,0,0,0,0,0
14,T. Tarpey,ASM,G,1.10,4.0,−0.2,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,0
15,D. Hall,FBB,G,0.00,8.4,−0.4,1,20,0,0,2,1,0,0,0,0,3,0.0,0,1,0.0,0,0,0.0,1,1,1,0,1,15
1,K. Sloukas,PAO,G,-1.80,12.2,−0.7,1,13,1,0,1,2,0,0,0,0,3,0.0,0,2,0.0,0,0,0.0,0,1,2,0,0,0
2,P. Kalaitzakis,PAO,F,-1.80,4.0,−0.3,1,6,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,15
3,V. Brown,ASM,F,-1.80,4.2,−0.5,1,3,0,0,0,0,0,0,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,-5
