Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
1,N. Hayes-davis,FBB,F,26.40,17.2,+0.4,1,31,1,25,7,0,1,0,0,8,17,47.1,2,8,25.0,7,7,100.0,1,6,3,2,5,18
2,K. Nunn,PAO,G,24.00,17.4,+0.4,1,33,1,20,5,4,3,0,0,8,14,57.1,4,8,50.0,0,0,0.0,1,4,1,3,2,-2
3,N. Milutinov,OLY,C,23.10,13.2,+0.3,1,21,0,12,8,1,1,0,1,4,8,50.0,0,0,0.0,4,4,100.0,6,2,0,0,4,7
4,G. Papagiannis,ASM,C,22.00,8.5,+0.4,1,26,0,15,7,1,1,2,0,7,11,63.6,1,1,100.0,0,0,0.0,2,5,0,3,1,6
5,E. Fournier,OLY,G,20.90,12.9,+0.3,1,29,1,22,1,4,2,0,0,9,16,56.3,4,6,66.7,0,0,0.0,0,1,1,2,0,1
6,M. Lessort,PAO,C,20.00,15.3,+0.1,1,27,1,13,5,1,0,1,0,5,7,71.4,0,0,0.0,3,5,60.0,1,4,1,0,5,-3
7,S. Vezenkov,OLY,F,18.70,21.2,0.0,1,28,1,20,3,1,2,0,2,9,15,60.0,1,4,25.0,1,1,100.0,0,3,1,1,1,-2
8,J. Hernangomez,PAO,F,18.00,14.9,+0.2,1,36,1,13,6,2,2,2,1,5,8,62.5,3,4,75.0,0,0,0.0,0,6,1,2,0,1
9,M. James,ASM,G,17.60,17.4,0.0,1,27,1,12,6,6,2,0,2,4,12,33.3,3,7,42.9,1,2,50.0,1,5,1,1,3,12
10,K. Sloukas,PAO,G,17.00,12.2,+0.1,1,31,0,12,1,7,0,0,0,3,6,50.0,1,3,33.3,5,5,100.0,0,1,3,2,5,6
11,J. Loyd,ASM,G,16.50,8.5,+0.1,1,19,1,14,0,4,0,0,0,4,5,80.0,2,2,100.0,4,6,66.7,0,0,2,3,5,3
12,C. Osman,PAO,F,16.00,10.4,+0.2,1,18,0,11,2,3,1,1,0,3,6,50.0,2,3,66.7,3,4,75.0,1,1,0,2,4,-8
