Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
1,W. Baldwin Iv,FBB,G,28.60,11.6,+0.5,1,32,1,19,5,7,2,1,0,6,12,50.0,1,5,20.0,6,7,85.7,2,3,2,2,3,14
2,A. Diallo,ASM,F,28.60,11.6,+0.6,1,29,1,20,5,4,2,0,0,7,11,63.6,2,3,66.7,4,5,80.0,2,3,1,3,4,8
3,M. Lessort,PAO,C,25.30,15.3,+0.3,1,27,1,14,8,1,2,0,0,6,9,66.7,0,2,0.0,2,2,100.0,1,7,0,1,2,8
4,M. Jaiteh,ASM,C,18.70,8.2,+0.4,1,21,1,10,7,1,0,1,0,5,6,83.3,0,0,0.0,0,0,0.0,3,4,2,2,3,4
5,M. Wright,OLY,C,17.00,6.3,+0.2,1,22,1,15,7,1,2,0,1,6,13,46.2,1,3,33.3,2,3,66.7,1,6,1,2,4,-2
6,K. Nunn,PAO,G,16.50,17.4,+0.1,1,32,1,16,3,4,1,0,1,5,14,35.7,1,5,20.0,5,5,100.0,0,3,0,2,3,15
7,K. Sloukas,PAO,G,16.50,12.2,0.0,1,16,0,10,0,5,0,0,0,3,8,37.5,2,5,40.0,2,2,100.0,0,0,0,0,5,5
8,E. Okobo,ASM,G,16.50,12.4,+0.1,1,26,0,14,1,4,3,0,0,5,10,50.0,2,6,33.3,2,2,100.0,0,1,1,3,2,9
9,N. Hayes-davis,FBB,F,16.50,17.2,+0.1,1,27,1,15,2,1,1,0,0,5,9,55.6,1,4,25.0,4,5,80.0,0,2,2,1,4,16
10,S. Mckissic,OLY,G,15.00,5.8,+0.3,1,20,0,13,2,2,0,0,0,3,7,42.9,1,4,25.0,6,6,100.0,0,2,0,1,3,-2
11,J. Loyd,ASM,G,13.20,8.5,−0.1,1,27,1,15,1,2,1,0,0,6,11,54.5,1,3,33.3,2,2,100.0,0,1,1,2,1,19
12,B. Colson,FBB,F,13.20,7.6,0.0,1,28,1,10,9,0,0,0,0,4,9,44.4,2,4,50.0,0,2,0.0,2,7,0,2,2,8
13,J. Hernangomez,PAO,F,13.20,14.9,0.0,1,21,0,11,1,2,1,0,0,4,7,57.1,3,5,60.0,0,0,0.0,0,1,0,0,0,-3
14,D. Hall,FBB,G,12.10,8.4,+0.1,1,23,0,5,3,4,0,0,0,1,2,50.0,1,1,100.0,2,2,100.0,1,2,1,1,2,7
15,J. Grant,PAO,G,12.10,10.7,0.0,1,21,0,10,1,2,1,0,0,4,7,57.1,2,3,66.7,0,0,0.0,0,1,0,1,1,-4
1,M. James,ASM,G,12.10,17.4,−0.2,1,19,1,9,1,5,0,0,1,2,7,28.6,0,4,0.0,5,5,100.0,0,1,0,1,3,9
2,S. Vezenkov,OLY,F,12.00,21.2,−0.2,1,31,1,11,4,0,0,0,0,4,6,66.7,1,2,50.0,2,2,100.0,1,3,0,2,1,-4
3,O. Yurtseven,PAO,C,11.00,9.1,−0.1,1,14,0,8,3,0,0,0,0,4,4,100.0,0,0,0.0,0,0,0.0,1,2,0,1,0,3
4,L. Brown,PAO,G,8.80,7.5,−0.3,1,20,1,5,2,5,0,0,0,2,5,40.0,0,2,0.0,1,1,100.0,0,2,1,2,2,15
5,N. Melli,FBB,F,8.80,8.5,−0.2,1,20,0,5,7,1,0,0,0,2,3,66.7,1,2,50.0,0,0,0.0,3,4,0,4,0,6
6,K. Mitoglou,PAO,F,8.80,6.9,−0.1,1,15,1,5,4,0,1,0,0,1,1,100.0,1,1,100.0,2,2,100.0,0,4,0,3,1,7
7,C. Osman,PAO,F,7.70,10.4,−0.3,1,15,0,5,1,1,1,1,0,2,4,50.0,1,3,33.3,0,0,0.0,0,1,0,0,0,-2
8,J. Blossomgame,ASM,F,7.70,9.2,−0.1,1,21,0,7,2,0,0,0,0,3,4,75.0,0,0,0.0,1,2,50.0,1,1,0,1,1,11
9,K. Birch,FBB,C,7.70,6.3,−0.3,1,8,0,4,3,0,1,1,0,2,3,66.7,0,0,0.0,0,0,0.0,0,3,1,0,0,1
10,D. Pierre,FBB,F,6.60,5.7,−0.2,1,12,0,2,3,0,0,1,0,1,4,25.0,0,2,0.0,0,0,0.0,1,2,0,0,3,3
11,G. Papagiannis,ASM,C,6.60,8.5,−0.3,1,19,0,7,3,1,0,0,0,3,6,50.0,1,3,33.3,0,0,0.0,1,2,1,1,0,9
12,T. Walkup,OLY,G,6.00,6.7,−0.2,1,22,0,2,2,5,1,0,0,1,5,20.0,0,2,0.0,0,0,0.0,0,2,1,1,2,-7
13,M. Strazel,ASM,G,5.50,8.1,0.0,1,21,0,10,0,0,0,0,0,3,6,50.0,2,5,40.0,2,3,66.7,0,0,1,3,3,4
14,V. Brown,ASM,F,5.50,4.2,−0.2,1,6,0,4,3,0,1,0,0,1,3,33.3,0,2,0.0,2,2,100.0,2,1,0,2,1,0
15,M. Guduric,FBB,G,3.30,10.7,−0.3,1,21,1,4,1,2,0,0,0,1,5,20.0,0,2,0.0,2,2,100.0,1,0,3,2,5,-1
1,S. Sanli,FBB,C,3.30,5.0,−0.1,1,10,0,7,2,2,0,0,0,3,6,50.0,1,3,33.3,0,0,0.0,1,1,1,4,0,-5
2,N. Williams-goss,OLY,G,3.00,9.3,−0.2,1,21,1,6,1,2,0,0,0,2,7,28.6,0,1,0.0,2,2,100.0,1,0,2,1,2,-10
