Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
9,V. Micic,HTA,G,8.80,15.5,−0.3,1,19,1,12,1,2,0,0,0,3,8,37.5,2,6,33.3,4,4,100.0,0,1,2,3,3,3
10,D. Osetkowski,PAR,F,8.80,9.7,−0.1,1,13,0,8,0,0,0,0,0,3,3,100.0,2,2,100.0,0,0,0.0,0,0,0,0,0,-11
11,S. De Larrea,VBC,G,8.00,7.1,0.0,1,11,1,7,2,3,2,0,0,3,3,100.0,1,1,100.0,0,0,0.0,1,1,2,5,1,-1
12,M. Hezonja,RMB,F,8.00,13.3,−0.3,1,26,0,15,3,2,0,0,0,5,15,33.3,1,9,11.1,4,8,50.0,0,3,2,0,4,-15
13,K. Taylor,VBC,F,8.00,8.4,−0.1,1,19,1,6,4,3,1,1,1,2,6,33.3,2,5,40.0,0,0,0.0,2,2,2,2,2,-5
14,A. Traore,ASV,F,8.00,7.1,0.0,1,15,0,6,2,1,0,0,0,3,5,60.0,0,1,0.0,0,0,0.0,1,1,1,0,2,-11
15,M. James,ASM,G,7.70,14.9,−0.4,1,30,1,9,3,8,1,0,1,2,13,15.4,0,6,0.0,5,5,100.0,0,3,2,3,3,-2
1,F. Ntilikina,OLY,G,7.70,8.3,−0.1,1,23,1,7,0,3,1,1,0,2,4,50.0,1,2,50.0,2,2,100.0,0,0,1,4,2,6
2,D. Davidovac,CZV,F,7.70,4.8,+0.1,1,15,0,4,1,1,0,1,0,1,1,100.0,1,1,100.0,1,2,50.0,0,1,0,2,3,15
3,T. Ginat,HTA,F,7.70,7.9,0.0,1,14,0,6,6,0,1,0,0,2,4,50.0,1,3,33.3,1,2,50.0,0,6,1,3,1,0
4,D. Bertans,DUB,F,7.70,9.6,−0.1,1,24,0,11,6,1,0,1,0,3,11,27.3,2,7,28.6,3,3,100.0,2,4,1,4,1,-8
5,T. Leaf,MTA,F,7.00,10.9,−0.2,1,12,0,7,3,2,0,0,1,2,6,33.3,0,0,0.0,3,3,100.0,2,1,0,2,2,12
6,B. Massa,ASV,C,7.00,7.4,0.0,1,17,1,4,4,0,1,1,0,2,2,100.0,0,0,0.0,0,0,0.0,1,3,1,3,1,-3
7,N. Nedovic,ASM,G,6.60,7.1,0.0,1,12,0,8,0,1,0,0,0,2,3,66.7,1,1,100.0,3,4,75.0,0,0,0,3,2,6
8,S. Brown,PAR,G,6.60,10.8,−0.2,1,24,1,7,4,3,0,0,2,3,6,50.0,1,1,100.0,0,1,0.0,1,3,0,2,0,1
9,T. Ennis,HTA,G,6.60,9.3,−0.1,1,14,0,7,2,2,1,0,0,0,4,0.0,0,1,0.0,7,8,87.5,0,2,2,4,5,6
10,C. Jones,HTA,G,6.60,11.2,−0.2,1,18,1,4,1,2,3,0,0,1,3,33.3,1,3,33.3,1,1,100.0,0,1,1,1,0,-16
11,K. Prepelic,DUB,G,6.60,7.2,−0.1,1,30,1,6,2,3,1,0,0,1,3,33.3,1,3,33.3,3,6,50.0,0,2,4,3,6,3
12,N. Mannion,EA7,G,6.60,7.1,−0.1,1,17,1,3,1,5,0,0,0,1,4,25.0,1,1,100.0,0,0,0.0,0,1,2,0,2,10
13,V. Marinkovic,PAR,F,6.60,7.1,−0.1,1,17,1,9,1,0,2,0,0,3,6,50.0,3,5,60.0,0,0,0.0,0,1,1,2,0,-2
14,K. Hayes,ASM,C,6.60,6.2,0.0,1,17,0,6,2,0,0,2,1,3,4,75.0,0,0,0.0,0,0,0.0,1,1,0,2,0,6
15,M. Diouf,VIR,C,6.60,6.7,0.0,1,12,0,4,3,0,1,1,0,2,3,66.7,0,0,0.0,0,1,0.0,1,2,2,2,3,0
1,M. Lo,ZAL,G,6.00,9.2,−0.2,1,20,0,0,1,6,1,1,0,0,4,0.0,0,3,0.0,0,0,0.0,0,1,1,0,2,7
2,E. Osmani,EFS,F,6.00,7.7,−0.1,1,3,1,4,0,0,0,0,0,1,1,100.0,0,0,0.0,2,2,100.0,0,0,0,0,2,0
3,D. Lighty,ASV,F,6.00,5.7,0.0,1,17,0,4,3,0,0,0,0,1,3,33.3,0,1,0.0,2,2,100.0,3,0,1,0,2,-10
4,T. Sedekerskis,BKN,F,6.00,10.7,−0.2,1,28,1,5,5,0,0,0,0,2,6,33.3,1,5,20.0,0,0,0.0,0,5,0,0,0,-18
5,D. Hommes,PBB,F,6.00,6.9,−0.1,1,18,1,2,2,2,0,1,0,0,1,0.0,0,1,0.0,2,2,100.0,1,1,0,2,2,10
6,J. Jessup,BAY,F,6.00,6.7,−0.1,1,15,0,7,1,2,0,0,0,3,5,60.0,1,3,33.3,0,0,0.0,1,0,1,1,0,-9
7,P. Kalaitzakis,PAO,F,5.50,4.0,0.0,1,9,0,3,1,2,2,0,0,1,4,25.0,0,3,0.0,1,1,100.0,0,1,0,2,2,4
8,O. Diop,EA7,F,5.50,4.7,0.0,1,10,0,2,1,1,0,1,0,0,1,0.0,0,0,0.0,2,2,100.0,0,1,0,1,2,-6
9,T. Maledon,RMB,G,5.00,13.0,−0.4,1,19,1,7,2,3,2,0,2,3,9,33.3,0,3,0.0,1,3,33.3,0,2,0,2,3,0
10,Y. Ouattara,PBB,G,5.00,5.2,0.0,1,16,0,5,6,3,0,0,1,1,9,11.1,1,3,33.3,2,2,100.0,2,4,0,1,1,-7
11,A. Abalde,RMB,F,5.00,5.6,−0.1,1,13,1,7,0,1,1,0,0,3,3,100.0,1,1,100.0,0,0,0.0,0,0,1,3,0,0
12,C. Frisch,BKN,F,5.00,7.4,−0.1,1,21,0,8,2,0,0,0,0,3,7,42.9,2,4,50.0,0,0,0.0,0,2,0,1,0,3
13,G. Papagiannis,EFS,C,5.00,7.7,−0.1,1,8,1,4,3,0,0,1,0,2,5,40.0,0,0,0.0,0,0,0.0,0,3,0,0,0,3
14,J. Pradilla,VBC,C,5.00,9.3,−0.2,1,18,1,5,3,1,1,0,0,2,6,33.3,1,2,50.0,0,0,0.0,0,3,1,1,1,-16
15,B. Vautier,ASV,C,5.00,6.7,−0.1,1,7,0,2,1,3,1,1,1,0,2,0.0,0,0,0.0,2,2,100.0,1,0,0,1,1,-3
1,K. Diop,BKN,C,5.00,6.2,−0.1,1,19,0,4,3,0,1,3,0,2,2,100.0,0,0,0.0,0,0,0.0,2,1,2,4,0,-2
2,T. Biberovic,FBB,F,4.40,6.6,−0.1,1,23,0,6,2,2,0,0,0,2,6,33.3,1,2,50.0,1,1,100.0,1,1,1,2,1,3
3,A. Feliz,RMB,G,4.00,6.7,−0.1,1,11,0,5,3,1,1,0,1,2,6,33.3,1,2,50.0,0,0,0.0,0,3,2,0,1,-15
4,M. Nowell,BKN,G,4.00,9.1,−0.3,1,27,1,3,1,7,1,0,1,1,5,20.0,1,3,33.3,0,0,0.0,0,1,1,2,0,-3
5,Z. Seljaas,ASV,F,4.00,9.9,−0.3,1,23,1,5,1,2,2,1,0,2,7,28.6,1,6,16.7,0,0,0.0,0,1,0,3,1,7
6,A. Dokossi,PBB,F,4.00,8.0,−0.2,1,14,0,6,3,0,1,0,0,3,3,100.0,0,0,0.0,0,0,0.0,2,1,2,4,0,-11
7,E. Okobo,ASM,G,3.30,11.5,−0.4,1,24,0,4,2,6,1,0,1,2,10,20.0,0,2,0.0,0,0,0.0,0,2,1,2,2,-1
8,L. Vildoza,VIR,G,3.30,9.1,−0.3,1,20,0,2,0,7,1,0,0,1,5,20.0,0,3,0.0,0,0,0.0,0,0,0,3,0,4
9,K. Papanikolaou,OLY,F,3.30,7.0,−0.2,1,17,0,3,2,2,0,0,0,1,2,50.0,1,2,50.0,0,0,0.0,0,2,1,3,1,-12
10,D. Motiejunas,CZV,C,3.30,7.6,−0.2,1,17,1,5,2,0,1,0,1,2,9,22.2,0,2,0.0,1,2,50.0,2,0,1,1,6,0
11,F. Campazzo,RMB,G,3.00,13.1,−0.5,1,25,0,1,4,2,1,0,0,0,6,0.0,0,3,0.0,1,2,50.0,1,3,1,2,5,0
12,T. Satoransky,BAR,G,3.00,10.1,−0.3,1,20,1,3,2,4,0,0,1,1,4,25.0,1,2,50.0,0,0,0.0,1,1,1,1,0,2
13,S. Francisco,ZAL,G,3.00,14.4,−0.5,1,27,1,8,2,6,0,0,0,2,11,18.2,2,8,25.0,2,4,50.0,0,2,2,2,2,-12
14,R. Smits,EFS,F,3.00,6.3,−0.2,1,19,0,7,5,0,1,0,0,2,7,28.6,1,3,33.3,2,4,50.0,2,3,1,4,2,1
15,A. M'baye,PBB,F,3.00,8.4,−0.3,1,23,1,8,0,0,1,1,0,2,7,28.6,2,4,50.0,2,2,100.0,0,0,1,4,3,4
1,M. Norris,BAR,F,3.00,10.1,−0.3,1,3,0,2,1,0,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,1,0,0,0,0,4
2,W. Clyburn,BAR,F,3.00,13.7,−0.5,1,19,1,7,3,0,1,0,0,3,8,37.5,0,3,0.0,1,5,20.0,2,1,1,2,4,-18
3,N. Giffey,BAY,F,3.00,5.5,−0.1,1,13,0,4,1,1,3,0,0,1,5,20.0,1,3,33.3,1,2,50.0,0,1,1,3,3,-14
4,B. Fernando,RMB,C,3.00,7.4,−0.2,1,8,0,3,1,0,0,0,0,1,1,100.0,0,0,0.0,1,2,50.0,1,0,0,2,2,0
5,D. Mccormack,BAY,C,3.00,8.2,−0.3,1,3,0,2,2,0,0,0,0,1,2,50.0,0,0,0.0,0,0,0.0,2,0,0,0,0,-3
6,T. Tarpey,ASM,G,2.20,4.6,−0.1,1,4,0,0,2,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0,1,0,5
7,M. Mahmutoglu,FBB,G,2.20,4.0,0.0,1,5,0,3,0,0,0,0,0,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,0,-7
8,S. Lee,OLY,G,2.20,7.6,−0.3,1,17,0,5,0,4,0,0,0,2,4,50.0,1,3,33.3,0,0,0.0,0,0,4,1,0,-5
9,J. Hernangomez,PAO,F,2.20,14.0,−0.6,1,29,1,9,3,1,1,0,1,4,11,36.4,1,6,16.7,0,0,0.0,0,3,2,2,0,12
10,K. Mitoglou,PAO,F,2.20,8.6,−0.3,1,4,0,0,1,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,-4
11,M. Muurinen,PAR,F,2.20,6.2,−0.2,1,4,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,0,2,-3
12,A. Abass,DUB,F,2.20,6.0,−0.2,1,10,0,2,0,1,0,0,0,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,1,1,-12
13,E. Izundu,CZV,C,2.20,8.4,−0.3,1,6,0,6,2,0,0,1,0,3,3,100.0,0,0,0.0,0,0,0.0,1,1,3,4,0,0
14,A. Diarra,VIR,C,2.20,8.7,−0.3,1,6,0,2,1,0,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,1,0,2,1,0
15,S. Llull,RMB,G,2.00,5.1,−0.1,1,14,0,4,1,0,1,0,0,1,5,20.0,0,3,0.0,2,2,100.0,1,0,0,3,3,0
1,R. Beaubois,EFS,G,2.00,6.6,−0.2,1,6,0,3,0,1,0,0,0,1,3,33.3,1,1,100.0,0,0,0.0,0,0,0,0,0,-6
