Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
1,S. Vezenkov,OLY,F,34.10,17.8,+0.6,1,30,1,23,10,2,0,0,0,8,12,66.7,2,5,40.0,5,5,100.0,1,9,1,1,2,11
2,C. Osman,PAO,F,33.00,12.9,+0.8,1,34,1,29,5,0,0,0,0,9,14,64.3,6,10,60.0,5,6,83.3,0,5,1,2,5,15
3,N. Milutinov,OLY,C,33.00,14.1,+0.7,1,21,1,23,5,0,0,0,0,8,9,88.9,0,0,0.0,7,8,87.5,4,1,0,4,8,9
4,D. Oturu,HTA,C,31.90,12.1,+0.8,1,30,1,18,9,1,1,2,0,6,9,66.7,0,0,0.0,6,8,75.0,5,4,1,3,7,11
5,C. Edwards,VIR,G,30.80,14.5,+0.6,1,27,1,36,1,1,1,0,2,12,22,54.5,5,12,41.7,7,8,87.5,0,1,2,2,6,6
6,F. Petrusev,DUB,F,30.80,13.8,+0.7,1,23,1,23,8,0,0,1,0,7,12,58.3,2,3,66.7,7,7,100.0,4,4,0,3,4,3
7,A. Butkevicius,ZAL,F,28.00,7.2,+0.8,1,27,0,20,5,1,3,0,0,7,8,87.5,6,7,85.7,0,0,0.0,1,4,0,1,1,-8
8,J. Dowtin Jr,MTA,G,27.00,12.1,+0.6,1,23,0,24,1,1,1,0,0,8,9,88.9,6,7,85.7,2,2,100.0,0,1,0,2,3,-7
9,C. Jones,PAR,G,25.30,14.4,+0.4,1,36,1,18,1,10,0,1,0,8,13,61.5,1,2,50.0,1,2,50.0,1,0,3,3,5,13
10,C. Okeke,RMB,F,25.00,13.8,+0.4,1,24,0,16,8,3,0,0,0,6,8,75.0,2,3,66.7,2,2,100.0,5,3,0,1,1,-15
11,C. Miller-mcintyre,CZV,G,24.20,10.7,+0.5,1,31,1,18,8,8,1,0,1,7,14,50.0,3,5,60.0,1,2,50.0,1,7,2,3,1,15
12,H. Diallo,BKN,F,24.00,11.6,+0.5,1,27,0,20,3,6,0,1,0,7,11,63.6,1,3,33.3,5,6,83.3,0,3,3,4,6,-2
13,M. Guduric,EA7,G,23.10,11.2,+0.4,1,21,0,14,7,1,1,0,0,3,6,50.0,2,4,50.0,6,6,100.0,2,5,2,2,5,3
14,O. Yurtseven,PAO,C,23.10,9.1,+0.5,1,16,1,15,4,2,1,0,0,6,7,85.7,0,0,0.0,3,3,100.0,2,2,0,2,2,-1
15,M. Kabengele,DUB,C,23.10,13.7,+0.3,1,26,1,10,13,1,0,2,1,4,10,40.0,0,2,0.0,2,2,100.0,2,11,0,1,3,22
1,G. Watson,ASV,G,22.00,10.1,+0.5,1,28,1,24,2,2,0,0,0,8,13,61.5,3,7,42.9,5,5,100.0,0,2,2,3,4,-2
2,J. Nwora,CZV,F,22.00,12.7,+0.3,1,36,1,18,5,3,0,1,0,5,11,45.5,1,2,50.0,7,7,100.0,1,4,4,2,5,15
3,N. Kalinic,CZV,F,22.00,9.6,+0.5,1,28,1,10,7,5,0,0,0,4,6,66.7,2,3,66.7,0,0,0.0,2,5,1,2,3,15
4,K. Jallow,VIR,F,22.00,8.7,+0.5,1,27,1,10,8,3,0,0,1,4,5,80.0,1,1,100.0,1,1,100.0,4,4,2,1,4,6
5,D. Bacon,DUB,F,22.00,11.9,+0.4,1,29,1,20,6,4,0,0,0,8,14,57.1,0,4,0.0,4,7,57.1,0,6,1,4,4,6
6,S. Larkin,EFS,G,21.00,13.5,+0.3,1,30,1,18,4,5,0,0,0,6,10,60.0,3,5,60.0,3,3,100.0,2,2,3,0,1,-5
7,T. Dorsey,OLY,G,20.90,9.8,+0.4,1,35,1,18,5,5,1,0,2,7,16,43.8,2,8,25.0,2,2,100.0,1,4,4,1,6,4
8,N. Reuvers,VBC,F,20.00,8.4,+0.5,1,21,1,10,10,0,1,1,0,5,8,62.5,0,3,0.0,0,0,0.0,3,7,0,2,3,-1
9,J. Grant,PAO,G,19.80,9.6,+0.4,1,27,0,11,5,4,1,0,0,4,7,57.1,1,3,33.3,2,2,100.0,4,1,0,1,1,12
10,Q. Ellis,EA7,G,19.80,6.5,+0.5,1,23,0,15,2,3,1,0,1,7,9,77.8,1,1,100.0,0,0,0.0,1,1,2,0,2,1
11,C. Moneke,CZV,F,19.80,15.8,+0.1,1,33,1,15,7,1,2,1,0,6,10,60.0,1,3,33.3,2,3,66.7,3,4,3,4,4,0
12,N. Mirotic,ASM,F,19.80,16.3,+0.1,1,18,0,15,4,0,4,0,0,5,10,50.0,1,3,33.3,4,5,80.0,2,2,2,3,6,10
13,N. Williams-goss,ZAL,G,19.00,10.2,+0.3,1,21,1,15,2,4,2,0,0,6,9,66.7,1,2,50.0,2,2,100.0,1,1,2,2,3,-22
14,K. Baldwin,BAY,G,19.00,7.3,+0.5,1,25,1,11,3,7,2,0,0,3,5,60.0,0,0,0.0,5,5,100.0,0,3,1,4,3,3
15,M. Strazel,ASM,G,18.70,7.4,+0.4,1,19,1,14,3,3,0,0,1,4,7,57.1,3,4,75.0,3,4,75.0,1,2,2,2,6,8
1,D. Washington,PAR,G,18.70,7.8,+0.4,1,24,0,17,3,3,0,0,2,6,10,60.0,2,4,50.0,3,3,100.0,0,3,1,3,4,18
2,A. Diallo,ASM,F,18.70,10.9,+0.3,1,32,1,16,5,1,0,1,2,7,10,70.0,1,2,50.0,1,1,100.0,1,4,1,1,1,-1
3,A. Obst,BAY,G,18.00,8.3,+0.4,1,23,0,13,1,3,3,0,0,5,9,55.6,3,7,42.9,0,0,0.0,0,1,1,1,4,-5
4,M. Wright,ZAL,C,18.00,11.4,+0.2,1,27,1,15,7,2,0,0,0,6,10,60.0,1,2,50.0,2,2,100.0,1,6,2,2,2,-5
5,K. Sloukas,PAO,G,17.60,12.0,+0.2,1,27,1,7,3,12,0,0,1,2,6,33.3,1,3,33.3,2,3,66.7,1,2,0,1,1,7
6,L. Bolmaro,EA7,G,17.60,8.3,+0.4,1,26,1,10,7,4,0,0,0,3,6,50.0,2,2,100.0,2,2,100.0,0,7,0,3,1,11
7,W. Baldwin Iv,FBB,G,17.60,11.5,+0.2,1,22,0,13,3,3,1,0,0,5,8,62.5,0,1,0.0,3,4,75.0,0,3,5,1,6,2
8,D. Hall,OLY,C,17.60,12.0,+0.2,1,19,0,8,6,1,0,2,0,4,4,100.0,0,0,0.0,0,1,0.0,2,4,1,1,2,-8
9,D. Thompson,VBC,G,17.00,12.2,+0.2,1,21,0,10,1,6,2,0,0,3,5,60.0,0,1,0.0,4,4,100.0,0,1,1,2,3,3
10,D. Willis,PBB,F,17.00,8.9,+0.3,1,17,0,12,3,2,0,1,0,3,6,50.0,1,3,33.3,5,6,83.3,1,2,0,1,4,-5
11,J. Hoard,MTA,F,17.00,14.4,+0.1,1,37,1,12,10,2,1,0,1,5,12,41.7,0,0,0.0,2,3,66.7,6,4,0,1,2,8
12,A. Pajola,VIR,G,16.50,8.0,+0.3,1,21,0,14,1,4,2,0,0,5,7,71.4,4,6,66.7,0,0,0.0,1,0,1,4,1,11
13,M. Wright Iv,DUB,G,16.50,10.6,+0.2,1,32,1,11,3,6,2,0,1,3,6,50.0,2,3,66.7,3,3,100.0,1,2,4,2,3,11
14,R. Holmes,PAO,C,16.50,12.5,+0.1,1,19,0,10,7,0,0,1,0,4,4,100.0,0,0,0.0,2,2,100.0,3,4,1,3,1,10
15,T. Jones,PAR,C,16.50,14.3,0.0,1,29,1,10,7,2,1,0,0,5,10,50.0,0,0,0.0,0,0,0.0,1,6,1,2,3,15
1,T. Shengelia,BAR,F,16.00,15.3,0.0,1,25,1,19,3,1,0,1,1,7,13,53.8,1,2,50.0,4,5,80.0,0,3,0,4,4,-10
2,L. Samanic,BKN,C,16.00,9.3,+0.2,1,14,0,13,4,0,0,1,0,5,6,83.3,1,2,50.0,2,2,100.0,1,3,1,2,2,1
3,D. Hall,FBB,G,15.40,9.7,+0.2,1,21,1,10,5,3,0,0,0,4,8,50.0,1,4,25.0,1,1,100.0,1,4,1,2,3,11
4,S. Wilbekin,FBB,G,15.40,9.1,+0.2,1,16,1,14,1,3,2,0,0,5,10,50.0,4,8,50.0,0,0,0.0,0,1,1,2,2,7
5,S. Ojeleye,CZV,F,15.40,9.6,+0.2,1,22,0,13,4,0,1,0,0,5,9,55.6,2,4,50.0,1,2,50.0,1,3,0,1,2,15
6,S. Shields,EA7,F,15.40,13.9,0.0,1,29,1,15,2,5,0,0,0,5,10,50.0,1,5,20.0,4,5,80.0,0,2,1,3,2,21
7,D. Theis,ASM,C,15.40,14.3,0.0,1,23,1,10,4,2,0,1,0,4,4,100.0,1,1,100.0,1,1,100.0,1,3,1,4,2,0
8,N. Weiler-babb,EFS,G,15.00,10.6,+0.1,1,31,1,5,5,5,3,0,0,2,5,40.0,1,4,25.0,0,0,0.0,1,4,1,2,3,-6
9,J. Puerto,VBC,G,15.00,6.4,+0.3,1,19,0,13,4,0,2,1,1,4,10,40.0,3,7,42.9,2,2,100.0,0,4,0,0,2,11
10,D. Brizuela,BAR,G,15.00,7.3,+0.3,1,20,0,19,5,1,0,0,0,7,14,50.0,4,9,44.4,1,2,50.0,0,5,1,3,2,5
11,T. Luwawu-cabarrot,BKN,F,15.00,9.8,+0.2,1,35,1,19,4,4,1,1,0,7,18,38.9,3,10,30.0,2,2,100.0,0,4,3,4,4,-14
12,E. Bryant,HTA,G,14.30,13.6,0.0,1,20,1,10,5,3,0,1,1,3,6,50.0,2,2,100.0,2,2,100.0,0,5,2,3,3,-1
13,A. Zagars,FBB,G,14.30,7.0,+0.3,1,17,0,8,1,4,1,0,0,2,4,50.0,0,1,0.0,4,6,66.7,0,1,1,0,4,11
14,A. Smailagic,VIR,F,14.30,8.8,+0.2,1,19,1,13,0,0,0,0,0,4,5,80.0,1,2,50.0,4,4,100.0,0,0,2,1,4,7
15,M. Jantunen,FBB,F,14.30,8.9,+0.2,1,19,1,15,1,0,0,0,0,5,6,83.3,5,6,83.3,0,0,0.0,0,1,0,3,1,-5
1,D. Booker,EA7,C,14.30,12.8,0.0,1,27,1,15,7,0,0,0,1,6,15,40.0,0,2,0.0,3,4,75.0,4,3,1,0,3,12
2,N. De Colo,ASV,G,14.00,13.2,0.0,1,19,0,10,2,2,1,0,0,2,5,40.0,0,3,0.0,6,6,100.0,0,2,2,2,6,-14
3,J. Robinson,PBB,G,14.00,12.1,0.0,1,16,0,13,2,3,2,0,1,3,9,33.3,0,4,0.0,7,8,87.5,0,2,1,2,5,-3
4,J. Parra,BAR,F,14.00,6.5,+0.3,1,19,0,7,8,2,1,0,0,2,4,50.0,2,3,66.7,1,2,50.0,2,6,0,3,2,10
5,I. Mike,BAY,F,14.00,7.9,+0.2,1,22,1,13,1,0,1,0,0,4,7,57.1,0,1,0.0,5,7,71.4,1,0,0,2,6,-7
6,M. Faye,PBB,C,14.00,7.3,+0.2,1,21,1,11,10,0,0,2,2,5,10,50.0,0,0,0.0,1,1,100.0,5,5,1,3,2,11
7,S. Niang,VIR,F,13.20,8.3,+0.2,1,18,0,6,6,1,0,0,0,3,3,100.0,0,0,0.0,0,0,0.0,2,4,1,1,1,-3
8,C. Malcolm,HTA,F,13.20,7.3,+0.2,1,24,0,8,4,5,0,2,2,3,8,37.5,2,4,50.0,0,0,0.0,1,3,1,1,2,6
9,G. Ricci,EA7,F,13.20,4.9,+0.3,1,28,1,15,2,0,1,0,0,5,6,83.3,5,5,100.0,0,0,0.0,0,2,1,4,0,15
10,J. Loyd,EFS,G,13.00,9.5,+0.1,1,26,0,13,2,0,0,0,0,3,7,42.9,1,3,33.3,6,7,85.7,1,1,0,2,5,-10
11,N. Hifi,PBB,G,13.00,12.7,0.0,1,25,1,23,3,5,0,0,1,8,23,34.8,3,9,33.3,4,4,100.0,0,3,3,2,3,4
12,E. Jackson,ASV,F,13.00,4.7,+0.3,1,14,1,9,1,2,0,0,0,3,4,75.0,0,0,0.0,3,4,75.0,0,1,1,2,6,6
13,J. Motley,HTA,C,12.10,12.2,−0.1,1,20,0,11,3,1,0,0,0,4,7,57.1,1,2,50.0,2,2,100.0,1,2,2,2,3,-8
14,A. Tubelis,ZAL,F,12.00,8.1,+0.1,1,26,0,14,5,0,1,0,1,6,10,60.0,1,3,33.3,1,1,100.0,2,3,2,2,1,-3
15,R. Sorkin,MTA,F,12.00,9.6,+0.1,1,17,1,12,1,1,2,1,0,5,8,62.5,0,2,0.0,2,2,100.0,0,1,1,4,3,-8
1,J. Marcos,BAR,G,11.00,5.4,+0.2,1,18,0,6,1,5,2,0,0,2,5,40.0,2,4,50.0,0,0,0.0,0,1,0,1,1,-4
2,B. Colson,FBB,F,11.00,9.4,0.0,1,21,1,7,3,1,1,0,0,2,2,100.0,1,1,100.0,2,2,100.0,1,2,1,2,1,24
3,O. Brissett,MTA,F,11.00,12.0,−0.1,1,30,1,7,8,0,1,1,0,3,6,50.0,1,3,33.3,0,0,0.0,3,5,2,3,2,-3
4,K. Jones,EFS,C,11.00,10.2,0.0,1,16,0,4,6,0,0,2,0,2,2,100.0,0,0,0.0,0,0,0.0,2,4,0,1,0,-8
5,M. Ndiaye,ASV,C,11.00,6.7,+0.1,1,26,0,11,7,2,0,1,0,5,9,55.6,1,4,25.0,0,0,0.0,5,2,3,3,0,-7
6,J. Vesely,BAR,C,11.00,10.3,0.0,1,15,0,9,2,3,1,0,0,1,4,25.0,0,0,0.0,7,8,87.5,1,1,2,2,4,-2
7,P. Dozier,EFS,G,10.00,8.7,0.0,1,20,0,15,2,2,0,0,0,6,10,60.0,3,4,75.0,0,2,0.0,2,0,3,3,3,-16
8,M. Spagnolo,BKN,G,10.00,7.0,+0.1,1,15,0,7,1,1,0,1,0,2,3,66.7,0,0,0.0,3,3,100.0,0,1,1,1,3,-5
9,L. Walker Iv,MTA,G,10.00,12.9,−0.2,1,26,1,15,1,3,3,0,1,5,13,38.5,1,5,20.0,4,7,57.1,0,1,3,1,4,-1
10,M. Costello,VBC,F,10.00,10.5,−0.1,1,22,0,6,5,2,0,2,0,2,4,50.0,2,3,66.7,0,0,0.0,1,4,0,3,0,4
11,J. Morgan,PBB,F,10.00,7.8,+0.1,1,22,1,5,4,2,2,0,0,2,3,66.7,1,2,50.0,0,0,0.0,2,2,1,3,2,5
12,V. Lucic,BAY,F,10.00,8.6,0.0,1,25,1,10,2,2,0,0,0,4,7,57.1,0,1,0.0,2,2,100.0,0,2,2,2,3,-6
13,T. Shorts,PAO,G,9.90,12.3,−0.2,1,12,0,7,1,3,0,0,1,2,4,50.0,0,0,0.0,3,4,75.0,0,1,1,1,4,5
14,A. Blakeney,HTA,G,9.90,10.1,0.0,1,20,0,11,3,3,0,0,2,3,9,33.3,3,6,50.0,2,2,100.0,0,3,0,1,1,1
15,J. Blossomgame,ASM,F,9.90,8.0,0.0,1,21,1,8,7,0,0,0,0,4,10,40.0,0,0,0.0,0,0,0.0,4,3,1,1,2,-1
1,J. Parker,PAR,F,9.90,11.4,−0.1,1,31,1,14,9,0,0,1,2,7,18,38.9,0,3,0.0,0,0,0.0,4,5,1,3,2,10
2,I. Bonga,PAR,F,9.90,9.7,0.0,1,23,0,7,3,1,0,0,1,1,3,33.3,1,1,100.0,4,4,100.0,2,1,1,1,3,19
3,M. Birsen,FBB,F,9.90,4.3,+0.2,1,12,0,6,3,0,1,0,0,1,2,50.0,0,1,0.0,4,4,100.0,0,3,1,2,3,-1
4,T. Ward,OLY,F,9.90,10.1,−0.1,1,23,1,6,2,8,0,0,1,2,7,28.6,2,5,40.0,0,0,0.0,0,2,1,3,3,13
5,N. Melli,FBB,C,9.90,8.9,0.0,1,16,0,4,4,3,0,2,0,2,2,100.0,0,0,0.0,0,0,0.0,0,4,3,2,1,9
6,B. Badio,VBC,G,9.00,8.5,0.0,1,20,0,18,0,1,0,0,0,7,13,53.8,2,8,25.0,2,2,100.0,0,0,3,2,1,-1
7,T. Lyles,RMB,F,9.00,12.0,−0.2,1,18,1,11,4,1,2,0,1,4,10,40.0,0,2,0.0,3,4,75.0,3,1,2,2,3,-15
8,W. Gabriel,BAY,C,9.00,11.2,−0.1,1,25,0,13,4,2,1,1,1,6,10,60.0,0,1,0.0,1,4,25.0,2,2,3,4,3,0
