Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
1,S. Vezenkov,OLY,F,29.70,21.2,+0.4,1,24,1,18,5,3,0,0,0,5,7,71.4,1,1,100.0,7,7,100.0,2,3,1,1,5,15
2,N. Hayes-davis,FBB,F,25.30,17.2,+0.4,1,29,1,24,3,0,1,0,2,9,14,64.3,4,7,57.1,2,3,66.7,1,2,2,0,5,9
3,W. Baldwin Iv,FBB,G,23.10,11.6,+0.3,1,29,1,13,2,8,2,0,0,3,8,37.5,1,5,20.0,6,7,85.7,1,1,3,2,7,20
4,J. Loyd,ASM,G,23.00,8.5,+0.4,1,27,1,18,4,4,2,0,0,5,10,50.0,1,5,20.0,7,7,100.0,1,3,1,3,4,8
5,M. Lessort,PAO,C,19.80,15.3,+0.1,1,26,1,9,9,1,2,2,0,4,6,66.7,0,0,0.0,1,6,16.7,4,5,2,2,6,0
6,E. Fournier,OLY,G,18.70,12.9,+0.2,1,16,1,19,3,2,0,0,0,6,9,66.7,3,6,50.0,4,4,100.0,1,2,3,3,2,5
7,J. Grant,PAO,G,17.60,10.7,+0.3,1,25,0,11,3,1,3,0,0,4,7,57.1,1,3,33.3,2,2,100.0,0,3,1,1,3,4
8,T. Biberovic,FBB,F,17.60,8.8,+0.4,1,23,0,17,5,2,1,0,0,6,12,50.0,5,9,55.6,0,0,0.0,1,4,1,2,0,13
9,N. Milutinov,OLY,C,17.60,13.2,+0.1,1,22,1,12,8,0,0,1,0,5,9,55.6,0,0,0.0,2,2,100.0,6,2,1,2,2,6
10,S. Lee,OLY,G,16.50,8.2,+0.1,1,19,0,19,3,1,0,0,0,4,12,33.3,2,4,50.0,9,10,90.0,1,2,5,1,7,0
11,M. Guduric,FBB,G,15.40,10.7,+0.2,1,17,0,10,1,5,1,0,0,3,6,50.0,2,5,40.0,2,2,100.0,0,1,1,2,3,12
12,M. James,ASM,G,15.00,17.4,−0.1,1,31,1,12,3,4,3,0,0,5,12,41.7,0,4,0.0,2,2,100.0,0,3,1,2,3,0
13,K. Nunn,PAO,G,14.30,17.4,0.0,1,25,1,13,3,2,1,0,0,4,9,44.4,1,3,33.3,4,4,100.0,1,2,2,4,5,4
14,L. Brown,PAO,G,14.30,7.5,0.0,1,28,1,12,4,3,2,1,0,3,13,23.1,0,5,0.0,6,6,100.0,2,2,2,1,4,4
15,T. Walkup,OLY,G,14.30,6.7,+0.1,1,21,1,8,3,7,1,0,0,3,8,37.5,2,5,40.0,0,0,0.0,1,2,2,2,3,24
1,J. Hernangomez,PAO,F,14.30,14.9,0.0,1,34,1,12,4,1,2,0,0,5,10,50.0,1,4,25.0,1,4,25.0,3,1,1,0,3,4
2,D. Hall,FBB,G,13.20,8.4,+0.2,1,25,1,12,3,3,0,0,1,4,7,57.1,4,5,80.0,0,0,0.0,1,2,0,2,0,3
3,K. Sloukas,PAO,G,13.20,12.2,0.0,1,26,0,10,2,3,1,0,0,3,5,60.0,2,4,50.0,2,2,100.0,0,2,2,2,2,0
4,T. Dorsey,OLY,G,13.20,4.0,+0.1,1,20,0,12,1,4,2,0,1,4,9,44.4,3,7,42.9,1,2,50.0,0,1,1,1,2,12
5,J. Blossomgame,ASM,F,13.00,9.2,+0.2,1,30,1,7,9,0,2,0,0,3,8,37.5,1,3,33.3,0,0,0.0,4,5,0,2,2,7
