Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
1,S. Vezenkov,OLY,F,30.80,21.2,+0.4,1,29,1,21,4,2,0,1,0,5,7,71.4,1,2,50.0,10,11,90.9,2,2,1,2,6,3
2,N. Milutinov,OLY,C,26.40,13.2,+0.4,1,21,0,11,8,1,1,1,0,4,5,80.0,0,0,0.0,3,4,75.0,2,6,0,0,4,3
3,N. Hayes-davis,FBB,F,25.30,17.2,+0.3,1,34,1,18,11,0,2,1,1,6,16,37.5,3,8,37.5,3,3,100.0,4,7,2,2,6,1
4,M. James,ASM,G,22.00,17.4,+0.2,1,26,1,16,6,7,1,0,0,5,13,38.5,2,7,28.6,4,4,100.0,0,6,3,2,3,16
5,M. Lessort,PAO,C,22.00,15.3,+0.1,1,29,1,16,8,0,1,0,0,7,9,77.8,0,0,0.0,2,4,50.0,3,5,3,2,4,4
6,M. Guduric,FBB,G,19.80,10.7,+0.4,1,30,0,17,3,3,2,0,0,4,10,40.0,2,5,40.0,7,7,100.0,0,3,2,4,5,1
7,E. Fournier,OLY,G,18.70,12.9,+0.2,1,29,1,20,4,2,0,0,1,7,12,58.3,3,7,42.9,3,3,100.0,1,3,4,3,4,0
8,E. Okobo,ASM,G,17.60,12.4,+0.1,1,22,0,15,0,4,3,1,0,5,9,55.6,1,2,50.0,4,5,80.0,0,0,1,4,3,5
9,K. Sloukas,PAO,G,16.50,12.2,+0.1,1,29,0,10,3,7,1,0,1,4,10,40.0,2,7,28.6,0,0,0.0,0,3,0,3,4,-1
10,L. Vildoza,OLY,G,16.50,5.9,+0.2,1,32,1,10,5,4,2,0,0,4,9,44.4,2,7,28.6,0,0,0.0,0,5,0,3,2,3
11,K. Nunn,PAO,G,15.40,17.4,0.0,1,27,1,20,1,3,3,0,0,6,12,50.0,3,6,50.0,5,8,62.5,0,1,4,4,4,1
12,A. Diallo,ASM,F,15.40,11.6,+0.1,1,26,0,9,6,4,2,2,0,2,7,28.6,1,2,50.0,4,4,100.0,4,2,4,2,2,6
13,B. Colson,FBB,F,14.30,7.6,+0.1,1,26,1,7,8,0,1,2,0,2,6,33.3,0,3,0.0,3,3,100.0,1,7,3,3,5,1
