Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
1,A. Diallo,ASM,F,38.50,11.6,+1.0,1,30,1,24,7,2,3,0,0,8,11,72.7,1,1,100.0,7,8,87.5,0,7,1,3,7,15
2,M. Lessort,PAO,C,32.00,15.3,+0.5,1,35,1,22,11,2,0,1,0,9,10,90.0,0,0,0.0,4,5,80.0,4,7,3,4,5,2
3,N. Milutinov,OLY,C,23.00,13.2,+0.3,1,26,0,13,8,1,0,0,0,4,5,80.0,0,0,0.0,5,6,83.3,3,5,0,2,5,-17
4,K. Nunn,PAO,G,22.00,17.4,+0.3,1,27,1,23,4,2,0,1,0,7,14,50.0,1,6,16.7,8,9,88.9,3,1,3,4,7,1
5,E. Okobo,ASM,G,22.00,12.4,+0.3,1,26,0,14,3,5,2,0,0,3,6,50.0,1,2,50.0,7,9,77.8,0,3,2,2,5,1
6,A. Zagars,FBB,G,21.00,6.0,+0.5,1,27,1,16,2,3,0,0,0,4,7,57.1,2,3,66.7,6,8,75.0,0,2,1,1,7,3
7,A. Peters,OLY,F,20.00,9.4,+0.4,1,24,1,12,8,0,1,1,0,4,6,66.7,0,2,0.0,4,4,100.0,3,5,2,2,4,22
8,W. Gabriel,PAO,C,19.80,7.8,+0.3,1,20,1,8,7,3,0,3,0,4,6,66.7,0,0,0.0,0,0,0.0,3,4,0,4,3,18
9,K. Sloukas,PAO,G,18.00,12.2,+0.2,1,26,0,11,2,4,1,0,0,1,5,20.0,1,5,20.0,8,8,100.0,0,2,1,1,6,-5
10,J. Loyd,ASM,G,17.60,8.5,+0.2,1,27,1,15,4,5,0,0,0,5,8,62.5,3,5,60.0,2,2,100.0,1,3,2,4,1,1
11,W. Baldwin Iv,FBB,G,16.00,11.6,+0.1,1,30,1,19,1,4,1,0,0,8,13,61.5,2,5,40.0,1,1,100.0,0,1,2,4,2,-9
12,T. Biberovic,FBB,F,14.00,8.8,+0.3,1,31,0,15,4,1,0,0,0,6,10,60.0,3,6,50.0,0,0,0.0,2,2,1,1,0,-11
13,S. Sanli,FBB,C,14.00,5.0,+0.3,1,10,0,7,6,0,1,1,0,1,1,100.0,0,0,0.0,5,7,71.4,1,5,0,2,3,-4
14,E. Fournier,OLY,G,12.00,12.9,−0.1,1,25,1,16,2,3,0,0,0,5,12,41.7,2,8,25.0,4,7,57.1,1,1,2,1,4,1
15,M. James,ASM,G,11.00,17.4,−0.3,1,33,1,6,2,10,1,0,1,2,10,20.0,2,5,40.0,0,0,0.0,0,2,1,2,3,2
1,T. Walkup,OLY,G,11.00,6.7,0.0,1,31,1,6,5,3,2,0,0,2,5,40.0,2,5,40.0,0,0,0.0,3,2,1,4,3,0
2,J. Hernangomez,PAO,F,11.00,14.9,−0.1,1,20,0,10,6,1,1,0,0,4,9,44.4,2,5,40.0,0,1,0.0,2,4,1,1,1,11
3,L. Vildoza,OLY,G,9.00,5.9,−0.1,1,28,1,8,3,3,0,0,0,3,6,50.0,1,2,50.0,1,1,100.0,1,2,1,2,1,3
