Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
1,M. James,ASM,G,31.90,17.4,+0.6,1,26,1,19,3,5,2,0,0,7,13,53.8,1,2,50.0,4,5,80.0,0,3,0,1,8,16
2,E. Okobo,ASM,G,29.70,12.4,+0.6,1,23,0,20,0,6,1,1,0,7,9,77.8,3,4,75.0,3,4,75.0,0,0,0,2,4,4
3,K. Nunn,PAO,G,25.00,17.4,+0.4,1,29,1,23,4,6,0,0,2,9,17,52.9,2,6,33.3,3,4,75.0,1,3,2,3,8,2
4,N. Melli,FBB,F,20.90,8.5,+0.3,1,21,0,12,5,3,1,1,0,5,6,83.3,2,3,66.7,0,0,0.0,2,3,0,2,0,1
5,M. Jaiteh,ASM,C,20.90,8.2,+0.5,1,25,1,15,7,0,1,0,1,6,10,60.0,0,0,0.0,3,4,75.0,1,6,0,2,4,22
6,J. Hernangomez,PAO,F,20.00,14.9,+0.3,1,29,0,16,4,1,0,0,0,6,9,66.7,4,5,80.0,0,0,0.0,1,3,0,1,3,-1
7,N. Hayes-davis,FBB,F,18.70,17.2,+0.1,1,27,1,14,5,0,2,0,0,4,7,57.1,3,6,50.0,3,5,60.0,1,4,1,1,3,0
8,S. Mckissic,OLY,G,18.00,5.8,+0.3,1,22,0,17,1,5,0,0,0,6,9,66.7,3,5,60.0,2,2,100.0,1,0,2,1,1,-13
9,S. Vezenkov,OLY,F,17.00,21.2,−0.1,1,30,1,16,6,2,0,1,0,6,13,46.2,1,3,33.3,3,3,100.0,2,4,1,1,1,9
10,V. Brown,ASM,F,15.40,4.2,+0.3,1,17,0,14,4,0,1,0,0,5,6,83.3,2,2,100.0,2,3,66.7,2,2,1,3,1,3
11,M. Fall,OLY,C,15.00,8.8,+0.1,1,19,1,9,2,2,1,0,0,2,2,100.0,0,0,0.0,5,6,83.3,0,2,0,2,4,11
12,E. Fournier,OLY,G,13.00,12.9,0.0,1,17,1,20,1,0,0,0,0,7,11,63.6,4,6,66.7,2,2,100.0,0,1,3,2,1,3
13,M. Lessort,PAO,C,12.00,15.3,−0.3,1,24,1,8,7,1,0,0,0,4,4,100.0,0,0,0.0,0,2,0.0,1,6,1,3,2,-4
14,J. Loyd,ASM,G,11.00,8.5,−0.1,1,21,0,11,3,2,1,1,0,5,11,45.5,1,5,20.0,0,0,0.0,1,2,0,3,1,0
15,T. Dorsey,OLY,G,11.00,4.0,+0.1,1,16,0,11,0,3,1,0,0,4,7,57.1,2,3,66.7,1,2,50.0,0,0,0,1,1,2
1,W. Baldwin Iv,FBB,G,11.00,11.6,−0.2,1,27,1,13,2,4,1,1,1,3,10,30.0,0,1,0.0,7,10,70.0,0,2,3,3,6,-1
2,C. Osman,PAO,F,11.00,10.4,−0.1,1,16,1,13,4,0,0,0,1,4,8,50.0,3,5,60.0,2,2,100.0,1,3,0,2,1,0
3,L. Vildoza,OLY,G,9.00,5.9,−0.1,1,17,0,2,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0.0,0,2,0,1,2,-10
4,S. Lee,OLY,G,9.00,8.2,−0.2,1,21,0,5,3,4,1,0,1,0,3,0.0,0,1,0.0,5,8,62.5,0,3,0,1,4,-14
5,I. Papapetrou,PAO,F,9.00,4.0,0.0,1,21,0,12,2,0,0,0,0,5,7,71.4,1,2,50.0,1,2,50.0,1,1,1,2,1,-9
6,A. Zagars,FBB,G,8.80,6.0,0.0,1,17,0,5,2,3,1,0,0,1,3,33.3,1,3,33.3,2,2,100.0,0,2,3,2,4,8
7,K. Sloukas,PAO,G,8.00,12.2,−0.3,1,24,0,3,2,5,1,0,0,1,2,50.0,1,1,100.0,0,0,0.0,0,2,3,0,1,0
8,M. Strazel,ASM,G,7.70,8.1,+0.1,1,20,1,12,0,1,0,0,0,4,8,50.0,4,7,57.1,0,0,0.0,0,0,0,2,0,13
9,A. Diallo,ASM,F,7.70,11.6,−0.2,1,26,1,7,1,1,1,0,0,1,6,16.7,1,3,33.3,4,4,100.0,0,1,1,2,5,19
10,D. Pierre,FBB,F,7.70,5.7,−0.1,1,17,0,6,1,2,0,0,0,2,4,50.0,2,4,50.0,0,0,0.0,0,1,1,0,1,11
11,T. Biberovic,FBB,F,6.60,8.8,0.0,1,24,0,12,0,0,0,1,0,4,7,57.1,4,7,57.1,0,0,0.0,0,0,1,4,1,8
12,O. Yurtseven,PAO,C,6.00,9.1,−0.3,1,15,0,8,4,2,0,2,2,3,10,30.0,0,1,0.0,2,4,50.0,1,3,0,1,2,-1
13,J. Grant,PAO,G,5.00,10.7,−0.3,1,23,0,3,2,3,0,0,0,1,3,33.3,0,2,0.0,1,2,50.0,0,2,0,2,2,1
14,T. Walkup,OLY,G,4.00,6.7,−0.3,1,23,1,0,2,4,4,0,0,0,2,0.0,0,2,0.0,0,0,0.0,0,2,0,4,0,8
15,K. Papanikolaou,OLY,F,4.00,6.9,−0.3,1,18,1,0,1,5,2,0,0,0,3,0.0,0,3,0.0,0,0,0.0,0,1,0,2,1,11
1,K. Birch,FBB,C,3.30,6.3,−0.4,1,8,0,1,3,1,1,0,0,0,1,0.0,0,0,0.0,1,2,50.0,1,2,0,2,1,2
2,D. Motiejunas,ASM,C,2.20,6.7,−0.3,1,23,1,3,4,1,0,0,0,1,4,25.0,0,1,0.0,1,1,100.0,2,2,0,5,2,11
3,M. Wright,OLY,C,2.00,6.3,−0.4,1,14,0,7,0,0,0,0,0,3,5,60.0,0,0,0.0,1,1,100.0,0,0,2,3,2,-9
4,A. Peters,OLY,F,1.00,9.4,−0.5,1,17,0,4,1,0,0,0,0,2,5,40.0,0,1,0.0,0,0,0.0,0,1,0,1,0,-15
5,J. Begarin,ASM,G,0.00,4.0,−0.3,1,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,-4
6,M. Grigonis,PAO,G,0.00,4.0,−0.3,1,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,5
7,B. Colson,FBB,F,0.00,7.6,−0.5,1,17,1,2,2,0,0,0,0,1,5,20.0,0,2,0.0,0,0,0.0,1,1,0,0,0,-3
