Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
1,S. Lee,OLY,G,21.00,8.2,+0.3,1,28,1,17,2,2,2,0,0,5,9,55.6,1,4,25.0,6,7,85.7,0,2,3,2,8,-15
2,M. James,ASM,G,16.00,17.4,−0.1,1,25,1,13,3,2,2,0,1,4,10,40.0,0,4,0.0,5,8,62.5,0,3,2,0,8,-10
3,M. Jaiteh,ASM,C,15.00,8.2,+0.2,1,19,1,13,10,0,0,1,1,6,12,50.0,0,0,0.0,1,2,50.0,6,4,0,3,2,-13
4,E. Okobo,ASM,G,14.00,12.4,0.0,1,23,0,13,1,7,2,0,0,5,11,45.5,3,8,37.5,0,1,0.0,0,1,3,2,3,3
5,A. Diallo,ASM,F,12.00,11.6,−0.1,1,33,1,11,6,3,1,0,0,5,8,62.5,0,2,0.0,1,4,25.0,4,2,3,4,4,-12
6,D. Motiejunas,ASM,C,9.00,6.7,0.0,1,15,1,9,3,1,0,0,0,4,6,66.7,0,0,0.0,1,2,50.0,0,3,1,1,1,-8
7,G. Papagiannis,ASM,C,8.00,8.5,−0.1,1,15,0,6,5,0,0,0,0,2,5,40.0,0,1,0.0,2,2,100.0,1,4,0,2,2,8
8,J. Loyd,ASM,G,6.00,8.5,−0.3,1,26,0,4,9,3,1,0,2,1,7,14.3,0,3,0.0,2,2,100.0,4,5,3,3,3,5
9,V. Brown,ASM,F,3.00,4.2,−0.3,1,10,0,2,4,1,0,0,0,1,5,20.0,0,1,0.0,0,0,0.0,3,1,0,0,0,-3
10,M. Strazel,ASM,G,1.00,8.1,−0.2,1,14,1,4,0,1,0,0,1,2,6,33.3,0,3,0.0,0,0,0.0,0,0,0,0,1,-12
11,J. Blossomgame,ASM,F,1.00,9.2,−0.3,1,20,0,5,0,0,0,1,1,2,5,40.0,1,2,50.0,0,0,0.0,0,0,0,1,0,7
