Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
1,N. Hayes-davis,FBB,F,30.80,17.2,+0.6,1,29,1,25,8,1,1,0,0,10,18,55.6,4,8,50.0,1,1,100.0,0,8,2,2,5,0
2,N. Milutinov,OLY,C,28.60,13.2,+0.6,1,23,1,13,7,2,1,2,0,4,5,80.0,0,0,0.0,5,7,71.4,4,3,0,2,6,-2
3,E. Okobo,ASM,G,25.00,12.4,+0.4,1,28,0,20,1,5,0,0,0,8,11,72.7,1,2,50.0,3,3,100.0,0,1,2,2,6,-2
4,J. Hernangomez,PAO,F,24.20,14.9,+0.4,1,29,0,12,7,3,2,0,0,5,9,55.6,2,4,50.0,0,1,0.0,2,5,0,0,3,14
5,M. James,ASM,G,24.00,17.4,+0.3,1,26,1,20,5,3,1,0,1,7,11,63.6,2,5,40.0,4,7,57.1,0,5,3,0,6,-5
6,M. Lessort,PAO,C,23.10,15.3,+0.2,1,31,1,18,6,2,2,1,1,6,7,85.7,0,0,0.0,6,8,75.0,3,3,5,4,5,20
7,E. Fournier,OLY,G,20.90,12.9,+0.3,1,29,1,20,2,1,3,1,1,7,15,46.7,3,8,37.5,3,4,75.0,0,2,0,1,3,7
8,K. Nunn,PAO,G,20.90,17.4,+0.2,1,37,1,21,2,4,0,1,1,8,13,61.5,2,3,66.7,3,3,100.0,0,2,3,4,4,4
9,S. Vezenkov,OLY,F,20.90,21.2,+0.1,1,30,1,21,4,4,0,0,1,8,15,53.3,1,5,20.0,4,6,66.7,1,3,2,1,3,5
10,T. Walkup,OLY,G,17.60,6.7,+0.3,1,28,1,9,4,6,3,0,0,2,3,66.7,2,2,100.0,3,3,100.0,0,4,4,4,3,6
11,J. Grant,PAO,G,17.60,10.7,+0.3,1,28,0,11,1,3,1,1,0,4,7,57.1,0,1,0.0,3,4,75.0,0,1,0,2,5,15
12,N. Melli,FBB,F,16.50,8.5,+0.2,1,23,0,9,8,2,0,0,0,4,4,100.0,1,1,100.0,0,0,0.0,2,6,2,3,1,13
13,D. Hall,FBB,G,15.40,8.4,+0.3,1,30,1,12,1,7,1,0,0,5,10,50.0,2,5,40.0,0,0,0.0,0,1,2,2,2,11
14,B. Colson,FBB,F,15.40,7.6,+0.1,1,17,1,11,3,1,0,0,0,5,7,71.4,1,2,50.0,0,0,0.0,1,2,0,1,2,-1
15,S. Sanli,FBB,C,13.20,5.0,+0.3,1,17,0,7,4,0,0,0,0,3,4,75.0,1,1,100.0,0,0,0.0,0,4,0,0,2,3
1,D. Motiejunas,ASM,C,12.00,6.7,+0.1,1,18,1,10,8,1,2,0,0,4,10,40.0,0,1,0.0,2,2,100.0,5,3,1,3,1,-10
2,L. Vildoza,OLY,G,11.00,5.9,0.0,1,14,0,8,1,4,0,0,0,2,3,66.7,2,3,66.7,2,2,100.0,0,1,2,1,1,3
3,C. Osman,PAO,F,11.00,10.4,0.0,1,16,0,12,2,0,0,0,0,4,6,66.7,2,4,50.0,2,2,100.0,0,2,1,3,2,10
4,G. Papagiannis,ASM,C,9.00,8.5,−0.1,1,22,0,6,4,1,2,1,0,2,4,50.0,0,1,0.0,2,2,100.0,1,3,0,4,1,2
5,J. Loyd,ASM,G,8.00,8.5,−0.2,1,23,1,10,3,2,0,0,0,4,7,57.1,2,3,66.7,0,0,0.0,1,2,2,4,2,-6
6,L. Brown,PAO,G,7.70,7.5,−0.3,1,14,1,6,2,5,0,0,0,3,5,60.0,0,1,0.0,0,0,0.0,0,2,2,2,0,1
7,M. Fall,OLY,C,7.70,8.8,−0.2,1,9,0,7,2,0,0,0,0,3,3,100.0,0,0,0.0,1,1,100.0,1,1,0,3,1,3
8,S. Lee,OLY,G,7.00,8.2,−0.3,1,17,0,10,2,0,1,0,1,3,8,37.5,1,2,50.0,3,4,75.0,1,1,0,2,3,2
9,T. Biberovic,FBB,F,5.50,8.8,−0.1,1,23,0,11,0,0,1,0,0,4,7,57.1,3,5,60.0,0,0,0.0,0,0,2,2,0,12
10,K. Papanikolaou,OLY,F,5.50,6.9,−0.2,1,10,1,3,0,3,0,0,0,1,2,50.0,1,1,100.0,0,0,0.0,0,0,0,0,0,-5
11,K. Mitoglou,PAO,F,5.50,6.9,−0.2,1,11,1,6,0,0,0,0,0,3,3,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,-8
12,O. Yurtseven,PAO,C,5.50,9.1,−0.3,1,9,0,6,2,1,0,0,0,3,4,75.0,0,0,0.0,0,0,0.0,0,2,2,2,1,-11
13,P. Cornelie,ASM,F,5.00,4.0,−0.1,1,13,0,5,3,0,0,0,0,1,1,100.0,0,0,0.0,3,4,75.0,2,1,0,4,2,5
14,K. Birch,FBB,C,4.40,6.3,−0.3,1,11,1,2,5,0,1,0,0,1,3,33.3,0,0,0.0,0,0,0.0,3,2,1,1,0,6
15,V. Brown,ASM,F,4.00,4.2,−0.2,1,12,1,5,1,1,0,0,0,2,4,50.0,1,1,100.0,0,0,0.0,0,1,0,1,0,-4
1,W. Gabriel,PAO,C,4.00,7.8,−0.4,1,12,1,6,3,2,2,1,0,3,5,60.0,0,1,0.0,0,0,0.0,1,2,3,5,0,1
2,A. Peters,OLY,F,3.30,9.4,−0.3,1,10,0,5,2,0,0,0,1,2,6,33.3,1,1,100.0,0,0,0.0,1,1,0,0,1,-3
3,M. Wright,OLY,C,3.30,6.3,−0.3,1,8,0,3,1,0,0,0,0,0,2,0.0,0,0,0.0,3,4,75.0,0,1,0,1,3,1
4,M. Strazel,ASM,G,3.00,8.1,−0.1,1,14,0,5,0,1,0,0,0,1,4,25.0,1,2,50.0,2,2,100.0,0,0,1,1,2,2
5,A. Zagars,FBB,G,2.20,6.0,−0.2,1,17,1,2,2,4,0,0,0,0,3,0.0,0,3,0.0,2,2,100.0,1,1,1,4,2,1
6,P. Kalaitzakis,PAO,F,2.20,4.0,0.0,1,7,0,1,0,0,1,0,0,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,0,1,-1
7,A. Diallo,ASM,F,2.00,11.6,−0.5,1,22,0,4,3,0,0,0,0,2,6,33.3,0,1,0.0,0,0,0.0,0,3,0,2,1,-11
8,M. Guduric,FBB,G,1.10,10.7,−0.4,1,21,0,6,1,3,0,0,2,2,6,33.3,0,2,0.0,2,2,100.0,0,1,1,3,1,5
9,K. Sloukas,PAO,G,1.10,12.2,−0.5,1,12,0,0,0,5,1,0,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,2,1,0,-11
10,S. Mckissic,OLY,G,0.00,5.8,−0.4,1,16,0,3,0,0,1,0,0,0,5,0.0,0,3,0.0,3,4,75.0,0,0,0,0,2,-5
11,N. Williams-goss,OLY,G,0.00,9.3,−0.3,1,19,0,2,0,2,0,0,0,0,3,0.0,0,1,0.0,2,2,100.0,0,0,1,2,2,1
12,J. Blossomgame,ASM,F,0.00,9.2,−0.3,1,21,1,5,2,0,1,0,0,2,7,28.6,0,2,0.0,1,4,25.0,1,1,0,2,2,-11
13,I. Papapetrou,PAO,F,0.00,4.0,−0.3,1,7,1,0,0,0,1,0,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,1,0,2,-3
14,T. Dorsey,OLY,G,-1.80,4.0,−0.5,1,5,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,2,1,0,-1
