Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
1,S. Vezenkov,OLY,F,27.50,21.2,+0.3,1,29,1,23,8,2,2,0,1,9,18,50.0,2,6,33.3,3,4,75.0,3,5,0,1,2,-7
2,J. Hernangomez,PAO,F,26.40,14.9,+0.5,1,17,1,13,5,4,1,0,0,6,6,100.0,1,1,100.0,0,0,0.0,0,5,0,1,2,17
3,L. Brown,PAO,G,23.10,7.5,+0.3,1,19,0,17,3,3,1,0,0,7,8,87.5,3,4,75.0,0,0,0.0,2,1,2,1,1,11
4,D. Hall,FBB,G,23.10,8.4,+0.6,1,25,1,16,1,9,0,1,0,6,10,60.0,3,5,60.0,1,2,50.0,1,0,1,2,2,2
5,S. Mckissic,OLY,G,23.10,5.8,+0.5,1,25,0,15,9,2,2,0,1,5,11,45.5,3,6,50.0,2,2,100.0,3,6,2,1,3,15
6,A. Diallo,ASM,F,23.10,11.6,+0.4,1,30,0,18,6,1,3,0,0,8,14,57.1,1,4,25.0,1,2,50.0,1,5,0,3,3,11
7,N. Hayes-davis,FBB,F,19.80,17.2,+0.2,1,27,1,20,4,0,1,0,0,7,14,50.0,2,4,50.0,4,4,100.0,3,1,1,3,4,1
8,E. Okobo,ASM,G,18.70,12.4,+0.1,1,25,0,15,4,3,1,0,1,3,11,27.3,0,5,0.0,9,9,100.0,0,4,1,3,7,13
9,T. Walkup,OLY,G,16.50,6.7,+0.2,1,24,1,12,1,4,0,0,0,5,6,83.3,2,3,66.7,0,0,0.0,0,1,1,4,4,15
10,S. Lee,OLY,G,16.00,8.2,+0.1,1,24,0,13,2,5,3,0,2,3,7,42.9,0,1,0.0,7,10,70.0,0,2,3,1,6,6
11,G. Papagiannis,ASM,C,15.40,8.5,+0.2,1,24,0,5,5,1,0,4,0,2,3,66.7,0,0,0.0,1,2,50.0,3,2,0,1,2,5
12,K. Nunn,PAO,G,13.20,17.4,−0.1,1,18,1,14,3,2,1,0,0,6,10,60.0,2,5,40.0,0,1,0.0,0,3,5,1,3,15
13,M. Fall,OLY,C,13.20,8.8,0.0,1,20,1,6,0,6,1,2,0,3,4,75.0,0,0,0.0,0,0,0.0,0,0,0,2,0,7
14,J. Loyd,ASM,G,12.10,8.5,−0.1,1,19,1,8,5,1,3,0,0,2,5,40.0,1,3,33.3,3,4,75.0,0,5,2,2,2,-2
15,K. Mitoglou,PAO,F,12.10,6.9,+0.1,1,21,0,7,7,0,1,0,0,3,6,50.0,0,0,0.0,1,4,25.0,6,1,0,1,3,8
1,M. Lessort,PAO,C,12.10,15.3,−0.2,1,19,0,9,4,0,0,0,0,4,5,80.0,0,0,0.0,1,2,50.0,2,2,2,2,4,7
2,M. James,ASM,G,11.00,17.4,−0.3,1,26,1,15,2,4,0,1,1,5,14,35.7,0,5,0.0,5,7,71.4,0,2,2,2,4,-5
3,T. Biberovic,FBB,F,11.00,8.8,+0.1,1,28,0,15,6,0,0,1,0,5,15,33.3,3,9,33.3,2,2,100.0,2,4,1,3,2,-4
4,O. Yurtseven,PAO,C,9.90,9.1,−0.1,1,18,1,10,2,0,0,2,0,4,6,66.7,0,0,0.0,2,3,66.7,1,1,3,1,2,16
5,E. Fournier,OLY,G,8.80,12.9,−0.2,1,29,1,10,5,2,1,0,0,4,15,26.7,2,9,22.2,0,0,0.0,3,2,2,1,4,1
6,K. Sloukas,PAO,G,7.70,12.2,−0.3,1,12,0,9,1,3,0,0,0,3,7,42.9,2,4,50.0,1,2,50.0,0,1,1,1,1,6
7,N. Melli,FBB,F,7.70,8.5,−0.2,1,25,0,3,3,3,2,0,0,1,1,100.0,1,1,100.0,0,0,0.0,1,2,0,5,1,14
8,A. Peters,OLY,F,7.70,9.4,−0.2,1,17,0,7,2,1,0,0,0,2,4,50.0,2,3,66.7,1,1,100.0,0,2,0,1,0,14
9,J. Grant,PAO,G,6.60,10.7,−0.2,1,22,1,2,2,7,0,0,0,1,3,33.3,0,2,0.0,0,0,0.0,0,2,1,2,0,13
10,I. Papapetrou,PAO,F,6.60,4.0,−0.1,1,17,0,1,3,1,2,0,0,0,1,0.0,0,0,0.0,1,2,50.0,0,3,0,0,1,10
11,J. Blossomgame,ASM,F,6.60,9.2,−0.1,1,18,1,5,2,0,0,0,0,2,4,50.0,1,2,50.0,0,0,0.0,2,0,0,1,2,-5
12,D. Motiejunas,ASM,C,6.60,6.7,−0.1,1,16,1,5,2,1,0,0,0,2,3,66.7,1,2,50.0,0,2,0.0,0,2,0,2,3,1
13,M. Guduric,FBB,G,5.50,10.7,−0.2,1,8,0,4,1,0,0,0,0,1,3,33.3,0,1,0.0,2,2,100.0,1,0,0,1,3,-2
14,W. Baldwin Iv,FBB,G,5.50,11.6,−0.4,1,23,1,4,3,1,2,0,1,1,6,16.7,0,2,0.0,2,2,100.0,2,1,0,3,4,-16
15,D. Pierre,FBB,F,5.50,5.7,−0.2,1,11,0,0,2,2,1,0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,0,0,1,12
1,C. Osman,PAO,F,4.40,10.4,−0.3,1,24,1,5,5,1,0,0,0,2,6,33.3,1,2,50.0,0,0,0.0,0,5,1,3,1,17
2,P. Kalaitzakis,PAO,F,3.30,4.0,0.0,1,8,0,2,1,1,2,0,0,0,3,0.0,0,2,0.0,2,2,100.0,1,0,1,1,2,0
3,K. Papanikolaou,OLY,F,3.30,6.9,−0.3,1,15,1,2,4,2,0,0,0,0,4,0.0,0,2,0.0,2,2,100.0,2,2,0,2,1,-5
4,K. Birch,FBB,C,3.30,6.3,−0.4,1,14,1,0,4,1,0,0,0,0,1,0.0,0,0,0.0,0,0,0.0,2,2,1,1,1,-8
5,V. Brown,ASM,F,2.20,4.2,−0.3,1,17,0,3,1,2,0,0,0,1,4,25.0,1,3,33.3,0,0,0.0,0,1,0,1,0,4
6,M. Strazel,ASM,G,1.10,8.1,−0.2,1,14,0,5,1,1,0,0,0,2,4,50.0,1,3,33.3,0,0,0.0,0,1,0,4,0,10
7,N. Williams-goss,OLY,G,1.10,9.3,−0.3,1,13,0,0,6,2,0,0,0,0,3,0.0,0,1,0.0,0,0,0.0,0,6,1,3,0,13
8,M. Jaiteh,ASM,C,1.10,8.2,−0.3,1,12,1,0,1,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0,1,0,-7
9,N. Milutinov,OLY,C,1.10,13.2,−0.6,1,8,0,2,3,0,0,0,0,1,3,33.3,0,0,0.0,0,0,0.0,2,1,1,1,0,-7
10,L. Vildoza,OLY,G,0.00,5.9,−0.5,1,7,0,0,2,2,0,0,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,1,2,0,-6
