Rank,Player Name,Team,Games Played,Games Started,Minutes,Points,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
78,NICK WEILER-BABB,BAY,33,13,23:36,6.3,1,2.8,35.5%,1,2.8,34%,1.4,1.7,80.7%,0.9,2.4,3.2,2.2,1.2,1.2,0.2,0.3,2.5,1.8,7.1
79,JAYCEE CARROLL,RMB,31,8,14:52,9.4,1.8,2.9,63.3%,1.5,3.8,40.3%,1.1,1.2,94.4%,0.2,0.8,1.1,0.5,0.2,0.8,0,0.2,1.3,1.7,7.1
80,PAULIUS JANKUNAS,ZAL,34,8,15:53,3.9,1,1.9,50.8%,0.2,0.9,27.6%,1.2,1.3,91.1%,1,3.4,4.4,1,0.5,0.8,0.1,0.1,1.6,1.5,7.1
81,JOEL BOLOMBOY,CSK,25,9,16:55,5.4,1.9,3.1,62.3%,0.2,0.6,25%,1.1,1.4,77.1%,1.7,2,3.8,0.3,0.6,0.8,0.5,0.3,1.6,1.2,7.2
82,SERTAC SANLI,EFS,34,19,14:13,7.8,2.5,3.7,66.1%,0.4,1.3,34.9%,1.6,1.9,81.5%,0.7,1.5,2.2,0.6,0.4,0.6,0.5,0.4,2.2,1.4,7.3
83,ISMAEL BAKO,ASV,27,3,14:22,5.6,2,3.3,60%,0,0,0%,1.6,1.8,87.8%,1.3,2.2,3.6,0.4,0.5,0.8,0.8,0.3,2.1,1.3,7.4
84,TIBOR PLEISS,EFS,24,9,12:02,6.8,2.5,4.1,60.2%,0.3,0.7,41.2%,1,1.1,88.9%,0.9,1.8,2.7,0.5,0.2,0.8,0.3,0.2,0.9,1,7.5
85,CHRIS JONES,MTA,34,7,17:29,7,2.1,3.9,53.8%,0.7,2,36.2%,0.6,0.8,75%,0.3,1.5,1.8,2.8,0.9,1.4,0.1,0.2,1.6,1.4,7.5
86,ANTOINE DIOT,ASV,30,23,18:44,5.9,0.7,1.2,55.6%,1.4,2.7,52.5%,0.4,0.6,70.6%,0.3,1.7,2,3,0.7,1.5,0,0.1,2,1.4,7.6
87,MAODO LO,BER,27,8,21:34,9.5,2,3.9,51.9%,1.3,3.9,34.6%,1.4,1.6,88.6%,0.3,1,1.3,3.1,0.6,2.1,0,0.6,1.5,2,7.6
88,BILLY BARON,ZEN,39,1,18:39,9.6,1.1,2.4,45.3%,2.1,4.6,44.8%,1.2,1.3,86.5%,0.2,1.2,1.4,1.7,0.4,0.9,0,0.3,1.9,1.9,7.8
89,MARTIN HERMANNSSON,VBC,29,0,17:42,6.9,1.7,3.7,45.8%,0.6,1.6,38.3%,1.6,1.9,87%,0.4,1.1,1.5,3.4,0.5,1.3,0,0.3,1.9,2.2,7.8
90,SERGIO LLULL,RMB,26,3,17:44,8.7,1.3,3.2,41.5%,1.5,4.4,33%,1.7,2,86.3%,0.3,1.2,1.5,3,0.4,0.8,0,0.1,1.7,1.9,7.8
91,DENNIS SEELEY,BAY,27,10,20:20,8.1,1.3,2.8,46.1%,1.3,2.4,51.5%,1.7,2.1,83.9%,0.3,0.7,1,2.2,0.7,1.5,0,0.2,2,2.5,7.8
92,ANGELO CALOIARO,MTA,33,27,25:35,5.9,1.4,2.4,57.5%,0.6,1.8,31.7%,1.4,1.7,81.8%,0.9,2.5,3.4,1.7,0.8,0.8,0.1,0.2,2.2,1.8,7.8
93,NICOLAS LAPROVITTOLA,RMB,34,13,17:37,6.8,0.9,1.9,43.9%,1.2,3.6,34.7%,1.4,1.6,86.8%,0.4,1.3,1.6,3.8,0.7,1.6,0,0.1,2.1,2.6,8.1
94,OCTAVIUS ELLIS,OLY,33,23,14:17,5.9,2.3,3.2,72.6%,0,0,0%,1.3,1.6,79.2%,1.9,2.2,4.1,0.4,0.4,1.2,0.7,0.2,2.7,1.8,8.1
95,YOUSSOUPHA FALL,TDS,32,16,11:43,7,2.7,4.3,62.8%,0,0,0%,1.7,2.2,75.7%,1.3,1.9,3.2,0.5,0.5,1.8,0.7,0.1,2,2.3,8.1
96,KYLE KURIC,FCB,39,1,18:49,8.7,1.1,2,55.1%,1.7,3.1,56.2%,1.3,1.3,96.1%,0.3,1.3,1.6,0.5,0.4,0.6,0.1,0,1.5,1.4,8.2
97,DANILO BARTHEL,FNB,29,18,21:49,6.3,1.8,3.1,57.8%,0.5,1.2,41.2%,1.3,1.5,88.4%,0.8,2.4,3.1,1.3,0.5,1.2,0.2,0.3,1.9,2.3,8.2
98,DEJAN DAVIDOVAC,CZV,33,8,22:39,7.2,1.8,3.2,56.6%,0.8,2.2,37.8%,1,1.2,78%,0.8,2,2.8,1.6,1,1.1,0.2,0.2,2.1,1.9,8.3
99,NIELS GIFFEY,BER,24,5,20:02,8.1,2.2,4.2,52.5%,1,2.3,41.8%,0.8,1,79.2%,1.2,1.7,2.9,1.4,0.8,1.3,0.4,0.3,1.9,1.8,8.3
100,CHRIS SINGLETON,EFS,41,19,22:01,6.1,0.9,1.9,48.7%,0.9,2.3,39.6%,1.5,1.8,81.3%,0.9,2.9,3.8,0.6,0.7,0.6,0.5,0.1,2.2,2.2,8.3
101,ALBERTO ABALDE,RMB,39,23,19:29,7.2,1.2,2.6,47%,1.3,2.9,43.5%,0.9,1.1,84.1%,0.3,2.4,2.7,2.3,0.5,1,0,0.2,1.5,1.5,8.3
101,LUKAS LEKAVICIUS,ZAL,33,0,18:20,8.2,2.4,4.2,56.8%,0.8,1.5,50%,1.2,1.3,86.4%,0.3,0.8,1.2,2.4,0.5,1.6,0,0.2,1.8,2.5,8.3
103,TONYE JEKIRI,TDS,30,14,18:50,6,2.5,5,51%,0,0,0%,0.9,1.4,64.3%,1.4,3.5,4.9,1.9,0.7,1.5,0.4,0.3,2.2,1.5,8.4
104,ADRIEN MOERMAN,EFS,41,22,20:30,6.4,1.8,2.9,60.5%,0.8,2.4,34.3%,0.4,0.7,56.7%,1.1,3.5,4.6,1.1,0.6,1,0.1,0.2,1.5,1.2,8.5
105,LORENZO BROWN,FNB,37,12,22:59,9.5,2.8,5.9,47%,0.9,2.9,32.7%,1.1,1.4,80.4%,0.5,1.7,2.2,3.5,1.3,2.1,0,0.5,1.8,1.9,8.6
106,ALEX POYTHRESS,ZEN,32,7,18:46,8.6,3.8,6.2,61.6%,0,0.2,0%,1,1.4,71.1%,1.6,2.7,4.3,0.5,0.6,1.1,0.7,0.5,2.9,1.6,8.8
107,ELIJAH BRYANT,MTA,34,26,23:19,9.8,2.5,5.1,48.3%,1.1,3,36.9%,1.5,1.7,84.7%,0.4,2.6,3,2,0.9,1.6,0.1,0.4,2.3,2.2,8.8
108,HOWARD SANT-ROOS,PAO,32,27,24:22,7.2,1.2,2.5,46.2%,1.2,3.5,34.8%,1.2,1.5,80.9%,0.5,1.9,2.4,3.7,1.5,1.8,0.2,0.2,2,1.9,8.9
109,GEORGIOS PRINTEZIS,OLY,31,14,18:09,8.5,2.6,4.3,61.2%,0.8,1.8,43.6%,0.9,1.6,56.9%,0.7,2,2.7,1,0.3,1.2,0.1,0.1,1.3,2.2,8.9
110,AARON WHITE,PAO,33,17,22:23,7.3,1.7,2.7,61.1%,0.8,2.2,36.5%,1.5,1.9,80.6%,1.3,2.7,4,1,0.5,0.7,0.2,0.2,1.9,1.7,9
111,SAM VAN ROSSOM,VBC,33,24,22:30,7.3,1.5,2.6,56.5%,1.1,3,35%,1.2,1.4,87%,0.4,2.2,2.6,3.8,0.7,2,0.1,0.1,1.7,1.9,9.2
112,RODRIGUE BEAUBOIS,EFS,38,21,21:24,10.6,1.9,3.7,53.2%,1.9,3.8,49.3%,1.1,1.2,90.9%,0.3,1.6,1.8,1.8,0.5,1.2,0.3,0.2,1.9,1.4,9.4
113,AUGUSTINE RUBIT,ZAL,31,1,19:06,8.1,2.9,5.6,52.6%,0.1,0.5,26.7%,1.9,2.3,82.9%,1.2,3,4.2,0.7,0.6,1,0.3,0.3,2,2.2,9.4
114,JOHANNES THIEMANN,BER,31,9,18:57,7.7,2,4.2,48.1%,0.7,2,37.7%,1.4,1.8,80%,1.4,2.4,3.8,1.5,0.7,1.1,0,0.4,1.6,2.6,9.4
115,PAUL ZIPSER,BAY,39,6,21:59,9.1,1.4,2.4,57.9%,1.5,3.5,43.8%,1.7,2.1,80.5%,0.6,2.4,3,1.1,0.7,0.7,0.3,0.1,2.2,1.9,9.5
116,LOUIS LABEYRIE,VBC,29,11,20:15,7.5,1.8,2.5,70.8%,0.9,2.6,36%,1.2,1.6,74.5%,0.7,2.9,3.6,0.5,0.5,0.6,0.3,0.1,1.1,1.9,9.7
117,TYLER DORSEY,MTA,34,4,21:52,11.2,1.7,3.6,48%,1.9,4.9,39.4%,2,2.5,78.8%,0.6,2.1,2.7,1.6,0.6,1.9,0.1,0.6,1.9,3.4,9.7
117,DERRICK WILLIAMS,VBC,34,19,20:12,9,2.6,3.9,66.2%,0.7,2.1,32.4%,1.8,2.4,73.5%,0.5,2.6,3.1,1.1,0.7,1,0.1,0.2,1.5,1.9,9.7
119,SHAQUIELLE MCKISSIC,OLY,33,12,23:24,10.7,2.5,4.9,51.6%,1.1,3.5,30.7%,2.5,3.5,71.6%,0.5,1.8,2.3,2.2,1.5,1.4,0.2,0.4,2.1,2.6,9.8
120,NIGEL HAYES-DAVIS,ZAL,33,30,26:42,9.5,1.6,3.7,44.3%,1.6,3.7,44.3%,1.3,1.4,89.4%,1,2.9,3.9,1.2,1.1,1.1,0.2,0.4,1.7,1.5,9.8
121,COREY WALDEN,CZV,30,12,23:21,10.5,1.8,3.9,46.2%,1.4,3.5,39%,2.8,3.3,83.8%,0.3,1.4,1.8,2.3,0.9,1.9,0.1,0.4,2.9,4.3,9.9
122,KYLE HINES,AXM,40,17,24:19,7.7,3.3,6,55.2%,0,0,0%,1.1,1.7,65.2%,1.9,2.5,4.4,2,0.8,1.3,0.8,0.6,2.5,2.2,10
123,SIMONE FONTECCHIO,BER,29,24,23:25,10.6,2.7,5,53.8%,1.4,3.6,38.8%,1.1,1.2,88.6%,0.9,2.6,3.4,1.6,0.9,1.6,0.2,0.3,1.8,1.7,10.1
124,LUCA VILDOZA,TDS,32,18,25:10,10.2,1.8,3.9,46%,1.8,4.8,38.8%,1.1,1.4,76.1%,0.4,1.7,2,3.5,1.6,2.3,0.1,0.2,2,2.6,10.2
125,WILLIAM HOWARD,ASV,22,2,17:51,8.5,1.3,2.2,58.3%,1.5,3,51.5%,1.3,1.4,93.5%,0.7,2.3,3,1.2,1.1,1.1,0.1,0,1.5,1.5,10.3
126,NORRIS COLE,ASV,30,20,26:15,13.7,3.6,7.7,47%,1.4,4.1,35%,2.2,2.5,88%,0.2,1.7,1.9,3.6,0.8,2.4,0.1,0.4,2.8,2.8,10.3
127,NICK CALATHES,FCB,41,37,25:08,7.8,2.4,4.9,48%,0.8,2.5,32.7%,0.6,1.1,53.3%,0.4,2.9,3.3,6.5,0.9,2.6,0.2,0.3,2.3,1.6,10.3
128,GABRIEL DECK,RMB,32,22,24:06,8.8,2.3,4.5,52.4%,0.8,1.8,40.7%,1.8,2.2,84.3%,0.8,2.8,3.7,1.2,0.7,1.2,0,0.2,1.4,2.4,10.3
129,IOANNIS PAPAPETROU,PAO,27,26,30:39,12.1,2.7,6.3,42.9%,1.7,4.6,36.3%,1.7,2.3,73%,0.8,3.3,4.1,2.4,0.6,2,0.1,0.4,2,2.8,10.6
130,THOMAS WALKUP,ZAL,34,34,24:09,8.2,1.8,3.8,46.9%,1.3,3.4,37.1%,0.9,0.9,90.6%,0.5,2.5,3,4.5,1.1,1.6,0,0.3,2.4,2.3,10.6
131,MARCUS ERIKSSON,BER,22,14,23:18,12.4,1.5,2.5,58.9%,2.6,6,44.3%,1.5,1.6,94.3%,0.2,1.5,1.7,0.7,0.5,1,0,0.1,1.3,2.2,10.7
131,DAVID LIGHTY,ASV,33,25,25:18,11.3,3.5,6.6,53.5%,0.8,2.2,35.1%,1.9,2.2,86.1%,0.7,2.2,2.8,1.9,1,1.8,0,0.2,2.2,2.6,10.7
133,OTHELLO HUNTER,MTA,27,5,20:56,8,3.1,6.1,51.8%,0,0.1,0%,1.7,2.3,71.4%,2.4,2.9,5.3,1,0.8,1.1,0.6,0.2,1.9,2,10.7
134,SERGIO RODRIGUEZ,AXM,37,3,19:56,9.7,1.7,2.8,60%,1.7,4.7,35.4%,1.3,1.4,90.6%,0.1,1.9,2,4.5,0.8,1.9,0.1,0.2,1.7,1.9,10.8
135,BRYANT DUNSTON,EFS,36,13,21:01,7.9,3.1,5.2,58.2%,0,0.1,50%,1.7,2.8,61%,1.8,2.1,3.9,1,0.9,0.6,0.9,0.2,2.4,2.8,10.8
136,MARKO GUDURIC,FNB,21,21,25:46,12.2,2.1,4.4,48.9%,2,4.9,41.7%,1.8,2.1,84.4%,0.4,2.3,2.7,2.3,0.8,2,0.3,0.4,2.6,2.9,10.8
137,DANIEL HACKETT,CSK,29,23,24:08,9.5,1.6,3.5,44.6%,1.5,3.3,45.3%,1.9,2.3,84.8%,0.6,2.2,2.7,2.3,1,1.2,0,0.2,2.9,3.6,10.9
138,HASSAN MARTIN,OLY,24,6,22:54,9,4,5.5,72%,0,0,0%,1,1.5,71.4%,2,2.6,4.6,0.4,0.8,1,0.5,0.3,2.9,1.9,10.9
139,GUERSCHON YABUSELE,ASV,30,26,25:07,11,2.5,4.7,52.8%,1.4,3.7,38.4%,1.7,2.3,71.4%,1,3.2,4.2,1.2,0.8,1.6,0.6,0.3,2.2,2.5,11
140,TREY THOMPKINS,RMB,38,10,21:17,10.1,2.2,3.5,61.2%,1.6,3.8,42.4%,0.9,1,94.7%,0.6,3.6,4.1,1.2,0.6,1,0.3,0.1,1.9,1.3,11
141,ERRICK MCCOLLUM,KHI,28,3,21:34,11.6,2.5,5.7,44%,1.1,3.3,34.4%,3.2,3.8,84.8%,0.6,1.9,2.4,2.3,0.9,1.6,0.2,0.2,1.8,3.4,11.2
142,KONSTANTINOS MITOGLOU,PAO,34,23,20:18,9.3,3,5.3,57.5%,0.5,1.8,29.5%,1.7,2.4,71.2%,2.2,3.2,5.4,0.9,0.7,1.2,0.3,0.3,1.6,2,11.3
143,KLEMEN PREPELIC,VBC,32,11,20:33,12.1,1.3,2.3,56.2%,2.2,5.3,41.5%,2.8,3.2,90.1%,0.3,1.1,1.4,2.8,0.5,1.7,0,0.4,2.3,3.3,11.3
144,ANTE ZIZIC,MTA,34,30,19:52,9.1,4,6.8,58.9%,0,0,0%,1.1,1.4,77.1%,2.1,3.2,5.4,0.7,0.4,1.4,0.8,0.5,1.6,1.7,11.4
145,JOHANNES VOIGTMANN,CSK,37,3,19:36,8.5,1.6,2.6,61.1%,1.4,3,46.4%,1.2,1.4,86.3%,1.4,3.5,4.9,1.3,0.5,1.1,0.3,0.1,1.6,1.4,11.4
146,JAYSON GRANGER,BER,28,21,23:17,8.1,1.8,3.6,49%,1.4,4,33.6%,0.5,0.6,77.8%,0.3,2.4,2.7,4.9,1,1.9,0,0.1,1.3,2.7,11.4
147,MALCOLM DELANEY,AXM,32,31,24:55,11.6,1.8,4.4,42.1%,1.6,4.2,38.8%,3,3.7,81.4%,0.2,2.4,2.6,3.5,0.9,2,0,0.3,2.8,3.9,11.5
148,KEVIN PUNTER,AXM,36,33,24:42,14.3,2.9,5.8,50.7%,1.8,4.6,39.2%,3.1,3.4,89.4%,0.2,1.4,1.6,1.4,0.8,1.1,0.1,0.6,2.1,3.2,11.6
