Rank,Player Name,Team,Games Played,Games Started,Minutes,Points,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
177,SHAVON SHIELDS,AXM,36,17,26:46,13.8,3.5,6.3,55.5%,1.5,3.5,43.2%,2.3,2.8,83.8%,0.8,3.2,4,1.4,1.1,1.3,0.2,0.2,1.8,3,15
178,JALEN REYNOLDS,BAY,39,5,21:06,13.6,5.7,9.5,59.8%,0.1,0.2,50%,1.9,2.2,87.2%,2.1,3.7,5.8,1.1,1.1,2,0.5,0.3,2.6,2.5,15.5
179,PIERRIA HENRY,TDS,34,17,26:47,10.5,3,5.9,51%,0.8,2.4,32.9%,2.1,2.5,81.4%,0.8,2.4,3.2,7.3,1.7,2.9,0.1,0.3,1.8,3.1,16
180,JORDAN MICKEY,KHI,28,12,28:52,15.6,5.6,9.5,59%,0.6,2.5,23.9%,2.6,3.4,77.7%,1.1,4.7,5.8,0.9,1.1,2,1.5,0.6,2.5,3.2,16.5
181,ACHILLE POLONARA,TDS,33,29,29:47,12.2,3,5.2,57.2%,1.6,3.7,44.3%,1.2,2.1,60.3%,2.3,4.3,6.6,1.9,1.2,0.9,0.9,0.2,2.3,2.4,16.5
182,JORDAN LOYD,CZV,29,27,27:20,17.3,3.8,7.4,51.9%,1.9,6.1,31.1%,4,4.4,90.6%,0.7,2.9,3.6,3.2,1.2,2.3,0.2,0.6,2.9,5,16.5
183,SHANE LARKIN,EFS,35,17,28:38,15.1,2,3.9,51.4%,2.5,6.3,39.2%,3.6,4.1,86.2%,0.4,1.9,2.3,4.1,1.2,2.1,0.1,0.5,1.1,4.3,17
184,VASILIJE MICIC,EFS,40,36,29:59,16.7,3.7,6.6,56.3%,1.9,4.8,38.9%,3.7,4.2,86.5%,0.4,2.2,2.6,4.9,1.2,3.1,0,0.7,2.6,5,17.5
185,VLADIMIR LUCIC,BAY,31,31,31:08,13.6,2,3.4,58.7%,1.9,4.4,44.1%,3.9,4.5,86.4%,0.7,4.2,4.8,1.4,1.1,1.2,0.1,0.1,2.5,5,17.8
186,JAN VESELY,FNB,31,31,28:08,13.1,5.6,8.3,67.6%,0,0.1,0%,1.9,2.5,76.6%,1.5,3.8,5.3,2.7,0.9,1.4,0.6,0.1,2.3,2.5,18
187,WALTER TAVARES,RMB,36,31,26:01,11.4,4.7,7.2,65.1%,0,0,0%,2,2.8,71.6%,3.3,4.8,8,1.1,1,1.9,1.8,0.2,2.9,3.2,18.1
188,NANDO DE COLO,FNB,32,31,27:30,15.8,3.9,6.6,58.5%,1.6,4,40.3%,3.2,3.4,93.6%,0.3,2.8,3.2,3.9,1.4,3,0,0.4,2.1,5.3,18.8
189,NIKOLA MIROTIC,FCB,33,32,25:51,15.6,4,6.7,59.3%,1.4,3.3,41.3%,3.5,4.2,84.8%,1.8,4.1,5.9,1,1.2,1.6,0.5,0.2,1.9,4.4,19.5
190,ALEXEY SHVED,KHI,23,22,32:32,19.8,3.3,7.2,45.5%,3.1,9.4,33.3%,3.9,4.3,89.9%,0.5,3.1,3.7,7.7,1.3,4.3,0.4,0.7,2,4.3,19.6
191,MIKE JAMES,CSK,27,16,31:10,19.3,3.6,7,51.1%,2.6,7.3,35.4%,4.4,5.4,81.4%,0.6,2.6,3.1,5.7,1,2.9,0.1,0.8,1.6,4.8,19.7
