Rank,Player Name,Team,Games Played,Games Started,Minutes,Points,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
23,WILLIAM RAYMAN,MTA,33,8,11:23,2.6,0.5,1.2,40%,0.2,0.6,40%,0.9,1.2,75%,1.2,1.8,3.1,0.2,0.2,0.2,0.1,0.2,2.4,1.3,3.3
24,BANDJA SY,PBB,35,3,13:30,3.1,0.5,0.8,57.1%,0.6,1.4,45.8%,0.3,0.5,62.5%,0.8,1.3,2.1,0.4,0.4,0.5,0.3,0.1,1.5,0.6,3.4
25,LEOPOLD CAVALIERE,PBB,36,0,10:56,2.8,1,1.6,64.9%,0.1,0.3,40%,0.4,0.6,72.7%,1.1,1.7,2.7,0.4,0.2,0.5,0,0,1.9,0.9,3.7
26,USMAN GARUBA,RMB,27,9,14:05,3.9,1.3,2,65.5%,0.3,1.3,23.5%,0.4,0.7,50%,0.9,2.2,3.1,0.6,0.6,0.6,0.4,0.2,2.6,0.6,3.8
27,XAVIER RATHAN-MAYES,RMB,23,5,11:58,5.3,0.7,1.4,51.5%,1.1,3,35.7%,0.5,0.8,63.2%,0.1,0.8,0.9,1.4,0.5,1.1,0,0.1,1.4,1.4,3.9
28,TERRY TARPEY,ASM,23,6,11:34,2.2,0.3,0.7,53.3%,0.3,0.9,38.1%,0.5,0.7,73.3%,0.7,1.5,2.3,0.4,1,0,0.3,0,1.7,0.6,4
28,ISIAHA MIKE,PAR,23,13,15:21,3.9,1,1.7,63.2%,0.4,1.7,25.6%,0.5,0.8,57.9%,1,1.4,2.4,0.7,0.6,0.6,0.1,0.1,1.8,1,4
30,ALEX ABRINES,BAR,37,18,17:00,4.5,0.4,0.8,50%,1.1,2.8,37.9%,0.6,0.6,91.3%,0.8,1.3,2.1,0.7,0.5,0.3,0.1,0.1,2.4,1.2,4.2
31,ELI NDIAYE,RMB,25,19,13:58,3.6,0.7,1.3,54.5%,0.6,1.8,34.1%,0.3,0.5,66.7%,0.7,1.7,2.4,0.5,0.6,0.2,0.1,0,1.4,0.7,4.2
32,SHAQUILLE HARRISON,ASV,34,12,16:21,5.2,1.6,3.4,48.3%,0.4,1.1,41.7%,0.6,1,57.1%,0.3,1.4,1.6,1.6,1.1,1.1,0.2,0.4,2.4,1.3,4.4
33,DEREK WILLIS,EFS,27,1,11:31,3.1,0.7,1.3,55.9%,0.4,1.3,31.4%,0.5,0.8,66.7%,0.9,1.6,2.4,0.4,0.4,0.5,0.3,0,0.8,0.8,4.4
34,ELIAS HARRIS,BAY,28,5,9:49,4.1,1.4,2.1,65%,0,0.2,16.7%,1.2,1.3,89.2%,0.7,0.8,1.5,0.5,0.1,0.3,0,0.1,1.2,1,4.4
34,DEJAN DAVIDOVAC,CZV,28,10,12:32,3.8,1,1.5,65.9%,0.4,0.9,40%,0.8,1,82.1%,0.3,1.5,1.8,0.5,0.4,0.3,0.2,0.1,1.6,1,4.4
36,VITTO BROWN,ASM,23,11,13:40,4.4,1,2,50%,0.5,1.9,27.9%,0.9,1.1,80%,0.8,1.7,2.5,0.7,0.4,0.5,0.2,0.1,1.5,0.8,4.4
37,DOVYDAS GIEDRAITIS,ZAL,30,18,24:00,5.8,1.5,3.1,46.8%,0.8,2.1,39.1%,0.4,0.5,78.6%,0.7,1.1,1.8,1.9,0.6,1.1,0.1,0.4,2,0.9,4.5
38,TIM SCHNEIDER,BER,32,16,19:37,5.6,1.3,2.3,56.2%,0.8,2.8,29.2%,0.6,1,57.6%,1.1,2.2,3.3,0.4,0.4,0.9,0.2,0.2,2.3,1.3,4.5
39,STEFANO TONUT,EA7,27,6,15:24,3.2,0.7,1.3,55.6%,0.5,1.1,45.2%,0.2,0.3,55.6%,0.4,1.5,1.9,1.1,0.3,0.3,0.1,0.1,1.1,0.7,4.5
41,ALEKSEJ POKUSEVSKI,PAR,27,7,12:47,3.9,1,1.7,60.9%,0.5,1.6,29.5%,0.3,0.5,69.2%,0.7,1.5,2.2,1.2,0.6,0.5,1,0,2.1,0.6,4.7
42,DYSHAWN PIERRE,FBB,25,1,11:33,3.3,0.7,1.4,50%,0.4,1.2,36.7%,0.6,0.7,94.1%,0.6,1.5,2,0.8,0.3,0.4,0.2,0.2,0.8,1,4.8
43,ANDRES FELIZ,RMB,33,5,14:11,4.8,1.5,2.7,54.4%,0.4,1.5,29.2%,0.5,0.9,62.1%,0.4,1.4,1.8,1.6,0.7,0.7,0.1,0.3,2.1,1.5,4.8
44,ROKAS GIEDRAITIS,CZV,34,2,15:48,4.8,0.9,1.6,51.8%,0.7,2,35.3%,0.9,1.3,72.7%,0.5,1.5,2,0.8,0.7,0.3,0.1,0.1,1.6,1,5
45,SERGIO LLULL,RMB,40,3,17:05,6.6,0.8,2,40.5%,1.4,4.6,29.2%,1,1.2,81.2%,0.4,1,1.4,2.2,0.4,0.7,0,0.2,1.5,1.5,5.1
46,LOUIS OLINDE,BER,23,9,19:03,5.6,1.7,2.5,67.2%,0.5,2.4,19.6%,0.8,1,75%,1,1.9,2.8,1.1,0.3,0.8,0.5,0.1,2.9,1.7,5.1
47,YOUSSOUPHA FALL,BAR,29,18,10:26,4.4,1.9,2.7,70.1%,0,0,0%,0.7,1,66.7%,1.4,2,3.3,0,0.1,0.9,0.2,0.1,1.8,1,5.2
48,JOHN DIBARTOLOMEO,MTA,33,6,17:25,5.2,0.2,0.6,33.3%,1.3,3.1,42.7%,0.7,0.8,88.9%,0.7,1.2,1.9,0.7,0.7,0.2,0,0.1,2.3,1.8,5.2
49,KHEM BIRCH,FBB,36,19,13:39,3.5,1.3,2.3,58.5%,0,0,0%,0.8,1.1,72.5%,1.6,2,3.7,0.6,0.4,0.9,0.4,0,2.3,1.1,5.2
50,LUCA VILDOZA,OLY,33,10,17:40,4.8,0.6,1.2,48.7%,1.1,2.9,36.8%,0.4,0.5,82.4%,0.1,1.4,1.5,2.7,0.7,1,0.1,0.1,2.2,1.2,5.2
51,SERTAC SANLI,FBB,33,17,13:04,5.5,1.3,2.1,61.8%,0.7,1.8,36.1%,1,1.2,78%,0.9,1.5,2.4,0.7,0.4,0.6,0.5,0.1,2.3,1.1,5.3
52,NIELS GIFFEY,BAY,25,8,18:11,6.4,1,1.8,54.5%,1.3,2.3,57.9%,0.6,0.7,77.8%,0.5,1.3,1.8,0.9,0.2,0.8,0.2,0.2,2.6,1.2,5.3
53,BRYANT DUNSTON,ZAL,34,16,15:41,4.1,1.7,2.7,62.4%,0,0.1,0%,0.7,1.1,63.9%,1.7,1.6,3.3,0.9,0.5,0.6,0.5,0.1,2.8,1,5.4
54,LAURYNAS BIRUTIS,ZAL,34,17,13:01,5.3,2.1,3.4,63.5%,0,0,0%,1,1.7,59.6%,0.9,1.8,2.7,0.4,0.1,0.7,0.5,0.2,2.3,1.5,5.4
55,JOEL PARRA,BAR,31,6,14:58,4.9,1.6,2.8,58.6%,0.4,1.5,23.9%,0.5,0.7,77.3%,0.9,1.9,2.8,0.6,0.6,0.4,0.1,0.2,1.4,0.8,5.5
56,OSCAR DA SILVA,BAY,25,5,15:27,4.8,1.8,2.8,65.2%,0.2,0.8,31.6%,0.5,0.8,68.4%,1.2,1.9,3.1,0.5,0.5,0.8,0.2,0.2,2.1,1.3,5.6
57,KONSTANTINOS MITOGLOU,PAO,39,13,16:08,6,1.7,3.1,53.3%,0.7,1.7,43.1%,0.5,0.8,66.7%,1,1.9,2.9,0.6,0.5,0.6,0.1,0.2,1.9,0.9,5.6
58,KHALIFA DIOP,BKN,32,11,14:27,4.1,1.8,2.8,62.9%,0,0.1,0%,0.6,1.1,52.8%,1.7,1.9,3.6,0.5,0.3,0.7,0.5,0.3,2,1.4,5.8
59,ARTURS ZAGARS,FBB,22,13,14:54,5.9,0.5,1.3,42.9%,1,3.1,32.4%,1.8,2.4,75%,0.4,0.8,1.1,2.3,0.4,1.3,0,0,2,2.8,5.8
60,MALTE DELOW,BER,23,12,18:11,5.7,1.9,3.1,62%,0.4,2,19.6%,0.7,1,77.3%,1,1.7,2.7,1.6,0.8,0.7,0.2,0.3,2.6,1.5,5.9
61,ACHILLE POLONARA,VIR,33,6,16:14,4.8,1,1.7,56.1%,0.6,2.3,27.6%,0.9,1.2,79.5%,0.9,1.9,2.8,0.9,0.5,0.5,0.4,0.1,1.4,1.2,6
62,SERGE IBAKA,RMB,29,2,12:19,6.2,2.1,3.3,63.2%,0.4,1.4,31.7%,0.7,1,75%,1.3,1.9,3.2,0.7,0.2,1.2,0.5,0.1,1.9,0.9,6
63,ARMONI BROOKS,EA7,32,3,15:00,7.6,1,2.2,45.8%,1.6,3.8,41.3%,0.9,0.9,96.6%,0.4,1.6,2,0.8,0.5,0.5,0.1,0.2,1.4,0.7,6.1
64,MARKUS HOWARD,BKN,32,18,22:20,12.1,1.5,3.4,44.4%,2.5,7.4,33.9%,1.6,1.9,85%,0.2,1.1,1.3,1.5,0.3,1.4,0,0.6,2.3,2.2,6.2
65,KOSTAS PAPANIKOLAOU,OLY,38,29,18:46,4.8,0.7,1.2,57.4%,0.9,2.6,34%,0.7,1,69.2%,0.6,2.2,2.8,2.1,0.6,0.8,0.3,0.1,1.9,0.9,6.2
66,KAMAR BALDWIN,BKN,25,13,21:24,7.1,2,4.6,43%,0.8,2.6,30.3%,0.8,1,80%,0.2,1.5,1.7,3.7,0.9,0.9,0.2,0.2,2.4,1,6.4
67,NENO DIMITRIJEVIC,EA7,27,7,16:50,7.6,1.9,4.2,45.1%,0.7,2.8,23.7%,1.8,2,87.3%,0.3,1.3,1.6,2.9,0.4,1.5,0,0.2,1.2,1.8,6.5
68,ARNAS BUTKEVICIUS,ZAL,33,17,22:00,4.5,0.6,1.3,46.5%,0.8,2.2,38%,0.8,1.1,74.3%,0.9,2.8,3.7,1.2,1,0.7,0.3,0.2,2.5,1.6,6.5
69,ALBERTO ABALDE,RMB,39,28,18:52,5.9,1.1,1.9,58.9%,1,2.2,46%,0.6,0.7,88.5%,0.4,1.9,2.4,1.7,0.5,0.5,0,0,1.8,0.6,6.6
70,ISAIAH CANAAN,CZV,35,8,21:01,10,1.3,2.7,46.8%,2,5.2,38.3%,1.5,1.7,86.4%,0.3,1.1,1.5,1.3,0.6,0.9,0,0.2,1.9,1.2,6.7
71,ROLANDS SMITS,EFS,39,4,18:08,6.8,1.6,2.4,67.7%,0.8,2.1,38.6%,1.2,1.4,81.8%,0.6,1.8,2.5,0.9,0.3,0.9,0.1,0.2,2.2,1.7,6.7
72,NICOLO MELLI,FBB,38,1,17:16,4.9,1,1.7,61.9%,0.8,2.2,37.3%,0.4,0.7,60.7%,1.3,2.8,4.1,1.1,0.6,0.7,0.4,0,2.8,1.5,6.8
73,BONZIE COLSON,FBB,39,35,18:26,6.7,1.7,3.5,47.8%,0.9,2.5,35.7%,0.6,1,65.8%,1.1,2.4,3.5,0.5,0.6,0.8,0.3,0.1,1.4,1.3,6.8
74,JORDAN NWORA,EFS,37,15,16:49,7.6,1.7,3.4,50.8%,1.1,3.2,34.5%,0.9,1,86.5%,0.6,2.7,3.3,0.8,0.5,1.3,0.2,0.1,1.2,1,6.8
75,ERCAN OSMANI,EFS,39,35,16:34,6.5,1.6,2.9,55.7%,0.7,1.9,39.2%,1,1.1,92.7%,0.9,2,2.9,1,0.5,1,0.2,0.2,1.7,1.3,6.9
76,ANDREAS OBST,BAY,36,17,23:51,10.2,0.6,1.4,41.2%,2.8,6.7,42.5%,0.6,0.8,74.1%,0.4,1.5,1.9,1.5,0.5,1.2,0,0.2,2.1,1.3,7
77,DEIVIDAS SIRVYDIS,ZAL,34,11,16:32,8.4,1,1.9,51.5%,1.7,4.3,38.8%,1.4,2,69.1%,0.6,2,2.6,0.8,0.5,1.1,0.1,0.1,1.5,1.5,7
77,WILL MCDOWELL-WHITE,BER,22,8,19:03,5.7,1.2,2.1,55.3%,1,2.9,35.9%,0.2,0.2,100%,0.3,1.5,1.7,3.8,0.6,1.3,0.1,0.3,1.3,0.7,7
77,WENYEN GABRIEL,,32,22,16:31,6,2.6,4.1,64.1%,0,0.2,0%,0.7,1.8,41.1%,1.9,2,3.9,0.7,0.6,1.2,0.9,0.3,2.8,1.8,7
80,PARIS LEE,ASV,26,19,22:01,8.3,1,3.5,30%,1.7,4.8,34.1%,1.2,1.5,84.2%,0.2,1.2,1.5,3.1,0.8,1.1,0,0.4,1.3,2,7
81,ALESSANDRO PAJOLA,VIR,30,21,23:36,5.4,0.8,1.7,49%,1,3,34.8%,0.6,0.8,79.2%,0.3,2.1,2.4,4.1,1.2,1.3,0.1,0.3,2.7,1.3,7.2
82,THOMAS WALKUP,OLY,26,20,20:13,4,0.8,1.7,50%,0.7,1.9,34%,0.3,0.5,61.5%,0.5,1.8,2.3,4.6,1,1.5,0.1,0.1,2.6,1.7,7.2
83,SHAQUIELLE MCKISSIC,OLY,38,0,16:25,7.6,1.7,2.7,62.7%,0.9,2.9,31.2%,1.5,2.3,65.2%,0.6,1.5,2.1,1.6,0.5,1,0,0.3,1.4,1.8,7.2
84,COLLIN MALCOLM,PBB,33,9,18:57,7.7,1.7,3.1,55.3%,1,3.2,32.7%,1.1,1.5,77.1%,0.6,1.9,2.5,1.2,0.4,0.7,0.2,0.2,1.3,1.5,7.2
85,TIMOTHE LUWAWU-CABARROT,BKN,26,19,24:56,10,2.3,5.2,43.4%,1.3,3.9,33.7%,1.5,1.8,84.8%,1.1,2.1,3.2,2,0.8,2,0.2,0.5,2.4,2,7.3
86,IFFE LUNDBERG,PAR,26,14,24:54,7.9,1.1,3.2,34.9%,1.4,4,34.6%,1.5,1.9,80%,0.6,1.7,2.2,3,0.9,1.1,0,0.3,2,1.8,7.3
87,JUAN NUNEZ,BAR,25,5,15:34,5,1.6,2.9,53.4%,0.4,1.6,27.5%,0.5,0.8,65%,0.6,1.9,2.5,3.4,0.8,1.3,0,0.1,2.1,2,7.4
88,LUKA MITROVIC,CZV,25,2,12:32,5.6,2.1,3.2,65%,0,0,0%,1.5,2.2,67.3%,1.1,1.8,2.9,1,0.2,1,0.2,0.2,1.8,2.2,7.4
89,YAGO DOS SANTOS,CZV,35,1,16:14,6.3,1.1,2.8,38.1%,1,2.5,39.1%,1.3,1.5,81.5%,0.2,1.3,1.6,3.3,0.5,1.2,0,0.2,1.4,2.2,7.5
90,DONATAS MOTIEJUNAS,ASM,29,24,14:43,6.4,2.3,3.9,59.3%,0.3,0.7,47.4%,0.9,1.6,54.3%,1.2,1.9,3.1,0.9,0.3,0.9,0.3,0.1,2,2,7.5
91,IGNAS BRAZDEIKIS,ZAL,29,18,17:39,8.2,2.5,4.8,52.2%,0.6,2.6,24%,1.3,1.5,88.6%,0.9,2.3,3.2,1.4,0.3,0.9,0.1,0.4,1.5,1.5,7.6
92,LORENZO BROWN,PAO,38,11,14:54,6.3,1.6,3.1,53.4%,0.7,2.1,33.3%,0.9,1.1,80.5%,0.3,1.7,2,2.7,0.8,1.3,0.1,0.1,1.1,1.3,7.6
93,MATTHEW MORGAN,VIR,34,5,18:39,7.8,1.2,2.2,56%,1.1,3.9,27.1%,2.2,2.4,92.5%,0.2,1.5,1.7,2.6,0.5,1,0,0.4,2,2.3,7.6
