Rank,Player Name,Team,Games Played,Games Started,Minutes,Points,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
122,MIKAEL JANTUNEN,PBB,38,38,25:30,7.5,1.1,1.8,63.2%,1.5,3.9,38.8%,0.7,0.9,82.4%,1.6,3.2,4.8,1,0.7,0.4,0.2,0.2,2.6,1.6,9.5
123,DAVID McCORMACK,,28,20,16:20,8.4,3.3,5.5,60.4%,0,0.1,0%,1.8,2.5,72.5%,1.6,3,4.6,0.6,0.8,1.7,0.1,0.2,2.6,2.5,9.6
124,NIKOLAOS ROGKAVOPOULOS,BKN,33,2,18:43,9.7,1.5,2.8,52.7%,1.9,4.5,43.5%,0.9,1.1,81.1%,1.2,2.7,3.9,1,0.5,0.5,0.1,0.3,1.5,0.9,9.6
125,TOMAS SATORANSKY,BAR,39,34,23:42,5.9,1.7,3.3,50%,0.6,1.8,34.7%,0.7,1,67.5%,0.8,2.4,3.2,5.3,0.9,1.8,0.1,0.1,2.3,1.6,9.7
126,ISAAC BONGA,PAR,30,20,24:58,7.7,1,2.1,49.2%,1.4,3.4,41.2%,1.4,1.5,93.3%,1.5,2.9,4.5,1.1,0.7,0.7,0.5,0.1,2.1,1.4,9.8
127,FABIEN CAUSEUR,EA7,22,2,21:01,8.3,1.5,2.6,59.6%,1.3,2.4,52.8%,1.4,1.8,76.9%,0.6,2.1,2.8,1.7,1,0.9,0.1,0.2,2,1.6,9.9
128,CODI MILLER-MCINTYRE,CZV,35,34,25:22,10.3,3,5.8,52.5%,1.1,3.7,30.5%,0.9,1.2,71.4%,0.6,2.5,3.1,4.6,0.6,2.1,0,0.4,2.3,1.8,10
129,ANDRE ROBERSON,ASV,25,18,25:50,8.4,2.2,4.2,52.4%,1,2.8,35.7%,1,1.6,61%,1.8,4.4,6.2,1.4,1.2,1.6,1.1,0.3,2.6,1.2,10.5
130,NADIR HIFI,PBB,38,0,19:58,15.1,2.4,4.9,48.9%,2.5,7.4,34.3%,2.7,3.1,85.7%,0.5,1.6,2.1,1.3,0.6,1.5,0,0.3,1.8,2.9,10.6
131,JERIAN GRANT,PAO,41,32,26:51,8.6,1.8,3.2,55%,1.2,2.8,43%,1.5,1.8,84.7%,0.4,1.8,2.1,3.2,0.9,0.8,0.1,0.2,2,2.2,10.6
132,MARTIN HERMANNSSON,BER,24,18,21:46,9.5,2.7,5.3,50%,0.8,2.6,29%,2,2.4,81%,0.4,1.2,1.6,5.7,0.6,2.2,0,0.6,1.2,2.4,10.8
133,BRANDON DAVIES,PAR,33,17,18:43,9.9,2.8,5.4,51.4%,1,2,49.2%,1.4,2.4,59.5%,0.9,2.7,3.6,1.5,0.9,1.4,0.4,0.3,2.5,3.2,10.8
134,WILLY HERNANGOMEZ,BAR,34,8,15:50,8.2,3.1,4.9,64.1%,0,0,0%,1.9,2.9,67.3%,1.7,2.4,4.1,0.5,0.6,1.1,0.1,0.2,1.9,3.1,10.8
135,TREVION WILLIAMS,,32,11,19:53,9.8,3.5,6.4,54.9%,0.5,1.9,26.7%,1.3,2,66.7%,2.1,4.4,6.5,2.4,0.6,2.4,0.5,0.3,2.8,1.7,10.9
136,WADE BALDWIN IV,FBB,27,13,24:13,11.1,3,6.3,47.6%,0.9,3,30.9%,2.3,2.9,79.7%,0.6,2,2.7,3.7,0.9,2.1,0.1,0.3,2.1,3,11
137,DAN OTURU,EFS,38,4,16:35,8.8,3.6,5,71.6%,0,0,0%,1.6,2.3,68.5%,2,2.2,4.2,0.5,0.5,1.1,1,0.3,2.4,2.2,11.1
138,TYSON WARD,PBB,38,38,26:20,11,2.2,3.7,58.9%,1.7,5.1,33.2%,1.6,2.1,75.9%,1.1,3.9,4.9,1.3,0.9,1,0.2,0.3,2.6,2.3,11.3
139,YANNI WETZELL,BER,28,14,20:51,11.2,4.2,7.4,57.3%,0.4,1,35.7%,1.7,2.6,65.8%,1.6,2.8,4.4,1.6,0.8,1.5,0.2,1,2.6,3,11.4
140,STERLING BROWN,PAR,34,30,25:45,12.4,2.6,4.5,57.5%,2,4.3,46.9%,1.1,1.2,92.9%,0.7,2.4,3,2.1,0.8,1.4,0.2,0.4,2.1,1.3,11.5
